Fecha;Bosque;Codigo planta;Especie planta;Numero flores;Ronda
07/05/2022;4;10;Pinguicula grandiflora;3;3
07/05/2022;4;15;Potentilla erecta;70;3
07/05/2022;4;17;Ranunculus sp.;4;3
07/05/2022;4;18;Scilla verna;147;3
07/05/2022;4;20;Polygala vulgaris;184;3
07/05/2022;4;22;Lathyrus linifolius;5;3
07/05/2022;4;30;Vaccinium myrtillus;101;3
09/05/2022;5;4;Taraxacum officinale;1;3
09/05/2022;5;5;Bellis perennis;4;3
09/05/2022;5;10;Pinguicula grandiflora;7;3
09/05/2022;5;14;Anemone nemorosa;2;3
09/05/2022;5;15;Potentilla erecta;112;3
09/05/2022;5;17;Ranunculus sp.;9;3
09/05/2022;5;18;Scilla verna;1163;3
09/05/2022;5;19;Pedicularis sylvatica;85;3
09/05/2022;5;20;Polygala vulgaris;52;3
10/05/2022;2;1;Hepatica nobilis;3;3
10/05/2022;2;3;Viola riviniana;92;3
10/05/2022;2;4;Taraxacum officinale;550;3
10/05/2022;2;5;Bellis perennis;1848;3
10/05/2022;2;6;Potentilla esterilis;72;3
10/05/2022;2;8;Ranunculus ficaria;4;3
10/05/2022;2;9;Oxalis acetosella;22;3
10/05/2022;2;11;Hutchinsia alpina;124;3
10/05/2022;2;15;Potentilla erecta;1;3
10/05/2022;2;17;Ranunculus sp.;3;3
10/05/2022;2;27;Geranium robertianum;12;3
10/05/2022;2;28;;23;3
10/05/2022;2;33;Veronica chamaedrys;4;3
10/05/2022;2;37;Fragaria vesca;5;3
10/05/2022;2;38;Cardamine pratensis;11;3
10/05/2022;2;39;Veronica sp.;2;3
10/05/2022;2;40;Orchis mascula;11;3
10/05/2022;2;41;Veronica officinalis;11;3
11/05/2022;1;1;Hepatica nobilis;2;4
11/05/2022;1;2;Helleborus viridis;53;4
11/05/2022;1;3;Viola riviniana;129;4
11/05/2022;1;4;Taraxacum officinale;677;4
11/05/2022;1;5;Bellis perennis;5624;4
11/05/2022;1;6;Potentilla esterilis;46;4
11/05/2022;1;8;Ranunculus ficaria;71;4
11/05/2022;1;9;Oxalis acetosella;3;4
11/05/2022;1;10;Pinguicula grandiflora;139;4
11/05/2022;1;11;Hutchinsia alpina;187;4
11/05/2022;1;17;Ranunculus sp.;21;4
11/05/2022;1;18;Scilla verna;263;4
11/05/2022;1;20;Polygala vulgaris;20;4
11/05/2022;1;21;Potentilla montana;2;4
11/05/2022;1;25;Erysimum gorbeanum;13;4
11/05/2022;1;26;Stellaria sp.;;4
11/05/2022;1;27;Geranium robertianum;11;4
11/05/2022;1;31;Globularia nudicaulis;5;4
11/05/2022;1;32;Vicia pyrenaica;24;4
11/05/2022;1;33;Veronica chamaedrys;86;4
11/05/2022;1;41;Veronica officinalis;29;4
11/05/2022;1;42;Erinus alpinus;77;4
11/05/2022;1;43;Cerastium sp.;6;4
11/05/2022;1;44;Blanca estrellada;108;4
11/05/2022;1;49;Ajuga reptans;4;4
12/05/2022;3;2;Helleborus viridis;3;3
12/05/2022;3;3;Viola riviniana;;3
12/05/2022;3;4;Taraxacum officinale;1;3
12/05/2022;3;5;Bellis perennis;164;3
12/05/2022;3;15;Potentilla erecta;105;3
12/05/2022;3;17;Ranunculus sp.;74;3
12/05/2022;3;18;Scilla verna;12;3
12/05/2022;3;19;Pedicularis sylvatica;9;3
12/05/2022;3;20;Polygala vulgaris;595;3
12/05/2022;3;21;Potentilla montana;305;3
12/05/2022;3;22;Lathyrus linifolius;29;3
12/05/2022;3;23;Genista hispanica;;3
12/05/2022;3;24;Hippocrepis comosa;52;3
12/05/2022;3;32;Vicia pyrenaica;12;3
12/05/2022;3;34;Lotus corniculatus;17;3
12/05/2022;3;35;Helianthemum nummularium;10;3
12/05/2022;3;36;Pilosella officinarum;4;3
12/05/2022;3;44;Blanca estrellada;6;3
12/05/2022;3;45;Thymus praecox subsp. Polytrichus;69;3
13/05/2022;4;3;Viola riviniana;9;4
13/05/2022;4;4;Taraxacum officinale;65;4
13/05/2022;4;5;Bellis perennis;218;4
13/05/2022;4;10;Pinguicula grandiflora;8;4
13/05/2022;4;15;Potentilla erecta;388;4
13/05/2022;4;17;Ranunculus sp.;64;4
13/05/2022;4;18;Scilla verna;47;4
13/05/2022;4;19;Pedicularis sylvatica;15;4
13/05/2022;4;20;Polygala vulgaris;1647;4
13/05/2022;4;22;Lathyrus linifolius;21;4
13/05/2022;4;30;Vaccinium myrtillus;19;4
16/05/2022;5;5;Bellis perennis;2;4
