"","Fecha","Hora","Bosque","Transecto..1.2.3.","Planta","Polinizador","sexo","capturado.","Codigo_frasco","Observaciones","Ronda","b","Polinizador_curro","Pollinator_genus","Pollinator_family"
"57",2022-04-25,"16:01:00",3,3,"Lathyrus linifolius","Bombus pascuorum","","no",NA,"",1,"2022-04-25 NA","Bombus pascuorum","Bombus","Apidae"
"58",2022-04-25,"16:03:00",3,3,"Scilla verna","?=34","","no",NA,"",1,"2022-04-25 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"59",2022-04-25,"16:10:00",3,3,"Potentilla erecta","?=11","","no",NA,"",1,"2022-04-25 NA","?=11","?=11",NA
"60",2022-04-25,"16:15:00",3,3,"Scilla verna","","","si",13,"",1,"2022-04-25 13","Halictus smaragdulus","Halictus","Halictidae"
"61",2022-04-25,"16:17:00",3,3,"Scilla verna","?=6","","no",NA,"",1,"2022-04-25 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"62",2022-04-25,"16:17:00",3,3,"Scilla verna","?=11","","no",NA,"",1,"2022-04-25 NA","?=11","?=11",NA
"63",2022-04-25,"16:18:00",3,3,"Scilla verna","?=13","","no",NA,"",1,"2022-04-25 NA","Halictus smaragdulus","Halictus","Halictidae"
"64",2022-04-25,"16:23:00",3,3,"Hippocrepis comosa","","","si",14,"",1,"2022-04-25 14","Osmia caerulescens","Osmia","Megachilidae"
"65",2022-04-25,"16:28:00",3,3,"Potentilla montana","?=34","","no",NA,"",1,"2022-04-25 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"66",2022-04-25,"16:33:00",3,3,"Taraxacum officinale","?=34","","no",NA,"",1,"2022-04-25 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"68",2022-04-26,"10:43:00",1,1,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-26 NA","Andrena limata","Andrena","Andrenidae"
"69",2022-04-26,"10:44:00",1,1,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-26 NA","Andrena limata","Andrena","Andrenidae"
"72",2022-04-26,"11:00:00",1,1,"Vicia pyrenaica","","","si",15,"",2,"2022-04-26 15","Bombus ruderarius","Bombus","Apidae"
"74",2022-04-26,"11:05:00",1,1,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"75",2022-04-26,"11:06:00",1,1,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
