"","Fecha","Hora","Bosque","Transecto..1.2.3.","Planta","Polinizador","sexo","capturado.","Codigo_frasco","Observaciones","Ronda","b","Polinizador_curro","Pollinator_genus","Pollinator_family"
"405",2022-05-10,"16:16:00",2,3,"Taraxacum officinale","?=13","","no",NA,"",3,"2022-05-10 NA","Halictus smaragdulus","Halictus","Halictidae"
"406",2022-05-10,"16:16:00",2,3,"Taraxacum officinale","?=49","","no",NA,"",3,"2022-05-10 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"407",2022-05-10,"16:19:00",2,3,"Bellis perennis","?=30","","no",NA,"",3,"2022-05-10 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"408",2022-05-10,"16:19:00",2,3,"Taraxacum officinale","?=49","","no",NA,"",3,"2022-05-10 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"409",2022-05-10,"16:22:00",2,3,"Taraxacum officinale","Bombus pascuorum","","no",NA,"",3,"2022-05-10 NA","Bombus pascuorum","Bombus","Apidae"
"410",2022-05-10,"16:22:00",2,3,"Taraxacum officinale","?=30","","no",NA,"",3,"2022-05-10 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"411",2022-05-11,"10:45:00",1,1,"Taraxacum officinale","Pararge aegeria","","no",NA,"",4,"2022-05-11 NA","Pararge aegeria","Pararge","Nymphalidae-Satyrinae"
"412",2022-05-11,"10:49:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"413",2022-05-11,"10:51:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"414",2022-05-11,"10:53:00",1,1,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"415",2022-05-11,"10:54:00",1,1,"Taraxacum officinale","?=13","","",NA,"",4,"2022-05-11 NA","Halictus smaragdulus","Halictus","Halictidae"
"416",2022-05-11,"10:56:00",1,1,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"417",2022-05-11,"10:56:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"418",2022-05-11,"10:58:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"419",2022-05-11,"11:02:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"420",2022-05-11,"11:05:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"421",2022-05-11,"11:06:00",1,1,"Pinguicula grandiflora","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"422",2022-05-11,"11:07:00",1,1,"Taraxacum officinale","?=6","","",NA,"",4,"2022-05-11 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"423",2022-05-11,"11:12:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"424",2022-05-11,"11:13:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"425",2022-05-11,"11:20:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"426",2022-05-11,"11:23:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"427",2022-05-11,"11:26:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"428",2022-05-11,"11:28:00",1,1,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"429",2022-05-11,"11:30:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"430",2022-05-11,"11:30:00",1,1,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"431",2022-05-11,"11:31:00",1,1,"Taraxacum officinale","?=13","","",NA,"",4,"2022-05-11 NA","Halictus smaragdulus","Halictus","Halictidae"
"432",2022-05-11,"11:39:00",1,1,"Taraxacum officinale","","","si",53,"",4,"2022-05-11 53","Platycheirus albimanus","Platycheirus","Syrphidae"
"433",2022-05-11,"11:40:00",1,1,"Bellis perennis","?=52","","",NA,"",4,"2022-05-11 NA","Calliphora vicina","Calliphora","Calliphoridae"
"434",2022-05-11,"11:42:00",1,1,"Taraxacum officinale","?=6","","",NA,"",4,"2022-05-11 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"435",2022-05-11,"11:42:00",1,1,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"436",2022-05-11,"11:43:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"437",2022-05-11,"11:44:00",1,1,"Taraxacum officinale","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"438",2022-05-11,"11:44:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"439",2022-05-11,"11:45:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"440",2022-05-11,"11:46:00",1,1,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"441",2022-05-11,"11:46:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"442",2022-05-11,"13:23:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"443",2022-05-11,"13:25:00",1,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"444",2022-05-11,"13:30:00",1,2,"Hutchinsia alpina","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"445",2022-05-11,"13:35:00",1,2,"Scilla verna","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"446",2022-05-11,"13:38:00",1,2,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"447",2022-05-11,"13:40:00",1,2,"Bellis perennis","?=34","","",NA,"",4,"2022-05-11 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"448",2022-05-11,"13:42:00",1,2,"Bellis perennis","Sphaerophoria scripta","","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"449",2022-05-11,"13:48:00",1,2,"Erysimum gorbeanum","Bombus terrestris reina","","",NA,"",4,"2022-05-11 NA","Bombus terrestris reina","Bombus","Apidae"
"450",2022-05-11,"13:53:00",1,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"451",2022-05-11,"13:57:00",1,2,"Bellis perennis","Pararge aegeria","","",NA,"",4,"2022-05-11 NA","Pararge aegeria","Pararge","Nymphalidae-Satyrinae"
"452",2022-05-11,"14:02:00",1,2,"Helleborus viridis","","","si",54,"",4,"2022-05-11 54","Lasioglossum immunitum","Lasioglossum","Halictidae"
"453",2022-05-11,"14:03:00",1,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"454",2022-05-11,"14:05:00",1,2,"Helleborus viridis","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"455",2022-05-11,"14:09:00",1,2,"Helleborus viridis","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"456",2022-05-11,"14:10:00",1,2,"Helleborus viridis","Bombus pratorum","","",NA,"",4,"2022-05-11 NA","Bombus pratorum","Bombus","Apidae"
"457",2022-05-11,"14:11:00",1,2,"Taraxacum officinale","Pararge aegeria","","",NA,"",4,"2022-05-11 NA","Pararge aegeria","Pararge","Nymphalidae-Satyrinae"
"458",2022-05-11,"14:13:00",1,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"459",2022-05-11,"14:15:00",1,2,"Taraxacum officinale","?=54","","",NA,"",4,"2022-05-11 NA","Lasioglossum immunitum","Lasioglossum","Halictidae"
"460",2022-05-11,"14:17:00",1,2,"Scilla verna","?=54","","",NA,"",4,"2022-05-11 NA","Lasioglossum immunitum","Lasioglossum","Halictidae"
"461",2022-05-11,"15:42:00",1,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"462",2022-05-11,"15:45:00",1,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"464",2022-05-11,"15:53:00",1,3,"Taraxacum officinale","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"465",2022-05-11,"15:54:00",1,3,"Helleborus viridis","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"466",2022-05-11,"15:56:00",1,3,"Helleborus viridis","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"467",2022-05-11,"15:58:00",1,3,"Helleborus viridis","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"468",2022-05-11,"16:10:00",1,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",4,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"469",2022-05-11,"16:13:00",1,3,"Bellis perennis","?=6","","",NA,"",4,"2022-05-11 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"470",2022-05-11,"16:16:00",1,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-11 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"471",2022-05-11,"16:23:00",1,3,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-11 NA","Apis mellifera","Apis","Apidae"
"472",2022-05-11,"16:38:00",1,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"Niebla, empezamos transecto mas tarde",3,"2022-05-11 NA","Bombus pascuorum","Bombus","Apidae"
"473",2022-05-12,"11:05:00",3,1,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",3,"2022-05-12 NA","Bombus pascuorum","Bombus","Apidae"
"474",2022-05-12,"11:10:00",3,1,"Lathyrus linifolius","Bombus pascuorum","","",NA,"",3,"2022-05-12 NA","Bombus pascuorum","Bombus","Apidae"
"475",2022-05-12,"11:52:00",3,1,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",3,"2022-05-12 NA","Bombus pascuorum","Bombus","Apidae"
"476",2022-05-12,"13:15:00",3,2,"Potentilla montana","?=13","","",NA,"",3,"2022-05-12 NA","Halictus smaragdulus","Halictus","Halictidae"
"477",2022-05-12,"13:15:00",3,2,"Potentilla montana","?=13","","",NA,"",3,"2022-05-12 NA","Halictus smaragdulus","Halictus","Halictidae"
"478",2022-05-12,"13:18:00",3,2,"Potentilla montana","Sphaerophoria scripta","macho","",NA,"",3,"2022-05-12 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"479",2022-05-12,"13:32:00",3,2,"Hippocrepis comosa","","","si",55,"",3,"2022-05-12 55","Osmia emarginata","Osmia","Megachilidae"
"480",2022-05-12,"13:38:00",3,2,"Pilosella officinarum","Sphaerophoria scripta","macho","",NA,"",3,"2022-05-12 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"481",2022-05-12,"13:42:00",3,2,"Ranunculus sp.","?=13","","",NA,"",3,"2022-05-12 NA","Halictus smaragdulus","Halictus","Halictidae"
"482",2022-05-12,"13:46:00",3,2,"Potentilla montana","Sphaerophoria scripta","macho","",NA,"",3,"2022-05-12 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"483",2022-05-12,"13:52:00",3,2,"Lathyrus linifolius","","","si",56,"",3,"2022-05-12 56","Bombus ruderarius","Bombus","Apidae"
"484",2022-05-12,"13:56:00",3,2,"Bellis perennis","?=6","","",NA,"",3,"2022-05-12 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"485",2022-05-12,"14:03:00",3,2,"Potentilla montana","?=13","","",NA,"",3,"2022-05-12 NA","Halictus smaragdulus","Halictus","Halictidae"
"486",2022-05-12,"14:14:00",3,2,"Ranunculus sp.","?=10","","",NA,"",3,"2022-05-12 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"487",2022-05-12,"16:03:00",3,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"Enfria y empieza viento",3,"2022-05-12 NA","Bombus pascuorum","Bombus","Apidae"
"488",2022-05-12,"16:06:00",3,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",3,"2022-05-12 NA","Bombus pascuorum","Bombus","Apidae"
"489",2022-05-13,"10:30:00",4,1,"","","","",NA,"Niebla, no se hace T1",4,"2022-05-13 NA","","",NA
"490",2022-05-13,"13:03:00",4,2,"Potentilla erecta","?=6","","",NA,"",4,"2022-05-13 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"491",2022-05-13,"13:20:00",4,2,"Ranunculus sp.","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-13 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"492",2022-05-13,"13:24:00",4,2,"Potentilla erecta","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-13 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"493",2022-05-13,"13:25:00",4,2,"Taraxacum officinale","","","si",57,"",4,"2022-05-13 57","Andrena cineraria","Andrena","Andrenidae"
"494",2022-05-13,"13:39:00",4,2,"Potentilla erecta","?=34","","",NA,"",4,"2022-05-13 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"495",2022-05-13,"13:42:00",4,2,"Potentilla erecta","?=34","","",NA,"",4,"2022-05-13 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"496",2022-05-13,"13:46:00",4,2,"Potentilla erecta","?=57","","",NA,"",4,"2022-05-13 NA","Andrena cineraria","Andrena","Andrenidae"
"497",2022-05-13,"13:55:00",4,2,"Potentilla erecta","?=34","","",NA,"",4,"2022-05-13 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"498",2022-05-13,"13:57:00",4,2,"Potentilla erecta","?=6","","",NA,"",4,"2022-05-13 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"499",2022-05-13,"14:01:00",4,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-13 NA","Apis mellifera","Apis","Apidae"
"500",2022-05-13,"14:03:00",4,2,"Pedicularis sylvatica","?=56","","",NA,"",4,"2022-05-13 NA","Bombus ruderarius","Bombus","Apidae"
"501",2022-05-13,"14:05:00",4,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-13 NA","Apis mellifera","Apis","Apidae"
"502",2022-05-13,"14:05:00",4,2,"Lathyrus linifolius","?=56","","",NA,"",4,"2022-05-13 NA","Bombus ruderarius","Bombus","Apidae"
"503",2022-05-13,"15:53:00",4,3,"Bellis perennis","?=35","","",NA,"",4,"2022-05-13 NA","Apis mellifera","Apis","Apidae"
"504",2022-05-13,"15:55:00",4,3,"Ranunculus sp.","?=10","","",NA,"",4,"2022-05-13 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"505",2022-05-13,"16:00:00",4,3,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-13 NA","Apis mellifera","Apis","Apidae"
"506",2022-05-13,"16:05:00",4,3,"Taraxacum officinale","?=57","","",NA,"",4,"2022-05-13 NA","Andrena cineraria","Andrena","Andrenidae"
"507",2022-05-13,"16:08:00",4,3,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-13 NA","Apis mellifera","Apis","Apidae"
"508",2022-05-13,"16:10:00",4,3,"Taraxacum officinale","?=10","","",NA,"",4,"2022-05-13 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"509",2022-05-13,"16:12:00",4,3,"Ranunculus sp.","?=6","","",NA,"",4,"2022-05-13 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"510",2022-05-13,"16:19:00",4,3,"Potentilla erecta","?=10","","",NA,"",4,"2022-05-13 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"511",2022-05-13,"16:23:00",4,3,"Potentilla erecta","?=34","","",NA,"",4,"2022-05-13 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"512",2022-05-13,"16:26:00",4,3,"Taraxacum officinale","?=11","","",NA,"",4,"2022-05-13 NA","?=11","?=11",NA
"513",2022-05-13,"16:37:00",4,3,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-13 NA","Apis mellifera","Apis","Apidae"
"514",2022-05-16,"11:05:00",5,1,"Ranunculus sp.","","","si",58,"Sol, buena Tª, brisita",4,"2022-05-16 58","Cheilosia nigripes","Cheilosia","Syrphidae"
"515",2022-05-16,"11:13:00",5,1,"Daboecia cantabrica","","","si",59,"",4,"2022-05-16 59","Andrena propinqua","Andrena","Andrenidae"
"516",2022-05-16,"11:22:00",5,1,"Scorzonera humilis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"517",2022-05-16,"11:24:00",5,1,"Pedicularis sylvatica","Bombus pascuorum","","",NA,"",4,"2022-05-16 NA","Bombus pascuorum","Bombus","Apidae"
"518",2022-05-16,"11:31:00",5,1,"Scilla verna","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"519",2022-05-16,"11:35:00",5,1,"Scilla verna","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"520",2022-05-16,"11:44:00",5,1,"Scilla verna","","","si",60,"",4,"2022-05-16 60","Eupeodes corollae","Eupeodes","Syrphidae"
"521",2022-05-16,"13:20:00",5,2,"Potentilla erecta","","","si",61,"",4,"2022-05-16 61","Lasioglossum sp","Lasioglossum","Halictidae"
"522",2022-05-16,"13:22:00",5,2,"Ranunculus sp.","?=58","","",NA,"",4,"2022-05-16 NA","Cheilosia nigripes","Cheilosia","Syrphidae"
"523",2022-05-16,"13:22:00",5,2,"Potentilla erecta","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"524",2022-05-16,"13:28:00",5,2,"Pedicularis sylvatica","?=56","","",NA,"",4,"2022-05-16 NA","Bombus ruderarius","Bombus","Apidae"
"525",2022-05-16,"13:32:00",5,2,"Potentilla erecta","?=61","","",NA,"",4,"2022-05-16 NA","Lasioglossum sp","Lasioglossum","Halictidae"
"526",2022-05-16,"13:44:00",5,2,"Potentilla erecta","?=58","","",NA,"",4,"2022-05-16 NA","Cheilosia nigripes","Cheilosia","Syrphidae"
"527",2022-05-16,"13:50:00",5,2,"Pedicularis sylvatica","Bombus lapidarius","","",NA,"",4,"2022-05-16 NA","Bombus lapidarius","Bombus","Apidae"
"528",2022-05-16,"13:51:00",5,2,"Potentilla erecta","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"529",2022-05-16,"13:52:00",5,2,"Scorzonera humilis","","","si",62,"",4,"2022-05-16 62","Andrena sp","Andrena","Andrenidae"
"530",2022-05-16,"13:54:00",5,2,"Potentilla erecta","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"531",2022-05-16,"14:01:00",5,2,"Scilla verna","?=83","","",NA,"",4,"2022-05-16 NA","?=83","?=83",NA
"532",2022-05-16,"14:11:00",5,2,"Potentilla erecta","?=60","","",NA,"",4,"2022-05-16 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"533",2022-05-16,"14:17:00",5,2,"Pedicularis sylvatica","Bombus lapidarius","","",NA,"",4,"2022-05-16 NA","Bombus lapidarius","Bombus","Apidae"
"534",2022-05-16,"15:54:00",5,3,"Pedicularis sylvatica","","","si",63,"",4,"2022-05-16 63","Anthophora agama","Anthophora","Apidae"
"535",2022-05-16,"16:03:00",5,3,"Potentilla erecta","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"536",2022-05-16,"16:10:00",5,3,"Scilla verna","Sphaerophoria scripta","","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"537",2022-05-16,"16:25:00",5,3,"Potentilla erecta","","","si",64,"",4,"2022-05-16 64","Merodon sp.","Merodon","Syrphidae"
"538",2022-05-16,"16:28:00",5,3,"Potentilla erecta","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"539",2022-05-16,"16:30:00",5,3,"Potentilla erecta","?=61","","",NA,"",4,"2022-05-16 NA","Lasioglossum sp","Lasioglossum","Halictidae"
"540",2022-05-16,"16:36:00",5,3,"Potentilla erecta","?=61","","",NA,"",4,"2022-05-16 NA","Lasioglossum sp","Lasioglossum","Halictidae"
"541",2022-05-16,"16:37:00",5,3,"Potentilla erecta","?=10","","",NA,"",4,"2022-05-16 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"542",2022-05-16,"16:42:00",5,3,"Potentilla erecta","Sphaerophoria scripta","","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"543",2022-05-16,"16:45:00",5,3,"Scilla verna","?=11","","",NA,"",4,"2022-05-16 NA","?=11","?=11",NA
"544",2022-05-16,"16:47:00",5,3,"Potentilla erecta","Apis mellifera","","",NA,"",4,"2022-05-16 NA","Apis mellifera","Apis","Apidae"
"545",2022-05-16,"16:50:00",5,3,"Potentilla erecta","Sphaerophoria scripta","","",NA,"",4,"2022-05-16 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"546",2022-05-16,"16:52:00",5,3,"Pedicularis sylvatica","Bombus lapidarius","","",NA,"",4,"2022-05-16 NA","Bombus lapidarius","Bombus","Apidae"
"547",2022-05-17,"10:30:00",2,1,"","","","",NA,"Primero vamos Pt1, demasiado viento y vamos al 2",4,"2022-05-17 NA","","",NA
"548",2022-05-17,"13:05:00",2,2,"Cardamine pratensis","Anthocharis cardamines","","",NA,"",4,"2022-05-17 NA","Anthocharis cardamines","Anthocharis",NA
"549",2022-05-17,"13:06:00",2,2,"Taraxacum officinale","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-17 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"550",2022-05-17,"13:07:00",2,2,"Bellis perennis","?=30","","",NA,"",4,"2022-05-17 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"552",2022-05-17,"13:10:00",2,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-17 NA","Apis mellifera","Apis","Apidae"
"553",2022-05-17,"13:14:00",2,2,"Taraxacum officinale","?=10","","",NA,"",4,"2022-05-17 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"554",2022-05-17,"13:23:00",2,2,"Taraxacum officinale","?=10","","",NA,"",4,"2022-05-17 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"555",2022-05-17,"13:25:00",2,2,"Taraxacum officinale","?=11","","",NA,"",4,"2022-05-17 NA","?=11","?=11",NA
"556",2022-05-17,"13:26:00",2,2,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-17 NA","Apis mellifera","Apis","Apidae"
"557",2022-05-17,"13:28:00",2,2,"Myosotis lamottiana","?=10","","",NA,"",4,"2022-05-17 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"558",2022-05-17,"13:30:00",2,2,"Ranunculus sp.","?=10","","",NA,"",4,"2022-05-17 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"559",2022-05-17,"13:31:00",2,2,"Ranunculus sp.","","","si",65,"",4,"2022-05-17 65","","",NA
"560",2022-05-17,"13:36:00",2,2,"Bellis perennis","?=10","","",NA,"",4,"2022-05-17 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"561",2022-05-17,"13:39:00",2,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",4,"2022-05-17 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"562",2022-05-17,"13:42:00",2,2,"Cardamine pratensis","Pieris sp. Argazkia","","",NA,"",4,"2022-05-17 NA","Pieris napi","Pieris","Pieridae"
"563",2022-05-17,"13:47:00",2,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",4,"2022-05-17 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"564",2022-05-17,"13:50:00",2,2,"Taraxacum officinale","?=10","","",NA,"",4,"2022-05-17 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"565",2022-05-17,"13:52:00",2,2,"Bellis perennis","?=52","","",NA,"",4,"2022-05-17 NA","Calliphora vicina","Calliphora","Calliphoridae"
"566",2022-05-17,"13:53:00",2,2,"Cardamine pratensis","Pieris sp. Argazkia","","",NA,"",4,"2022-05-17 NA","Pieris napi","Pieris","Pieridae"
"567",2022-05-17,"13:55:00",2,2,"Bellis perennis","?=83","","",NA,"",4,"2022-05-17 NA","?=83","?=83",NA
"568",2022-05-17,"14:06:00",2,2,"Taraxacum officinale","?=66","","",NA,"",4,"2022-05-17 NA","Andrena propinqua","Andrena","Andrenidae"
"569",2022-05-17,"14:08:00",2,2,"Hutchinsia alpina","Tximeleta marroi laranja bi begi handi","","",NA,"",4,"2022-05-17 NA","Maniola jurtina","Maniola","Nymphalidae-Satyrinae"
"570",2022-05-17,"14:10:00",2,2,"Ranunculus sp.","","","si",66,"",4,"2022-05-17 66","Andrena propinqua","Andrena","Andrenidae"
"571",2022-05-17,"14:12:00",2,2,"Orchis mascula","?=10","","",NA,"",4,"2022-05-17 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"572",2022-05-17,"15:45:00",2,3,"Taraxacum officinale","Apis mellifera","","",NA,"",4,"2022-05-17 NA","Apis mellifera","Apis","Apidae"
"574",2022-05-17,"15:52:00",2,3,"Ranunculus sp.","?=64","","",NA,"",4,"2022-05-17 NA","Merodon sp.","Merodon","Syrphidae"
