"Site_id","Year","Bosque","Periodo","Especies","morisita"
"Doñana",2020,"Pinar Puebla",1,"Cistus ladanifer",0.247490157480315
"Doñana",2020,"Pinar Puebla",1,"Cistus salvifolius",0
"Doñana",2020,"Pinar Puebla",1,"Lavandula stoechas",0.0105314960629921
"Doñana",2020,"Pinar Puebla",1,"Rosmarinus officinalis",0.258021653543307
"Doñana",2020,"Pinar Hinojos",1,"Halimium commutatum",0.117618819011042
"Doñana",2020,"Pinar Hinojos",1,"Romulea bulbocodium",0.117618819011042
"Doñana",2020,"Villamanrique Chaparral",1,"Asphodelus fistulosus",0.321141006642226
"Doñana",2020,"Villamanrique Chaparral",1,"Narcissus papyraceus",0.0854700854700855
"Doñana",2020,"Villamanrique Chaparral",1,"Rosmarinus officinalis",0.23567092117214
"Doñana",2020,"Pinar Puebla",2,"Anemone palmata",0.288370513870304
"Doñana",2020,"Pinar Puebla",2,"Asphodelus fistulosus",0.0434771929824561
"Doñana",2020,"Pinar Puebla",2,"Cistus salvifolius",0.356115330721811
"Doñana",2020,"Pinar Puebla",2,"Lavandula stoechas",0
"Doñana",2020,"Pinar Puebla",2,"Rosmarinus officinalis",0.343665074016157
"Doñana",2020,"Pinar Hinojos",2,"Anemone palmata",0
"Doñana",2020,"Pinar Hinojos",2,"Genista hirsuta",0
"Doñana",2020,"Pinar Hinojos",2,"Halimium calycinum",0
"Doñana",2020,"Villamanrique Chaparral",2,"Asphodelus fistulosus",0.193710691823899
"Doñana",2020,"Villamanrique Chaparral",2,"Rosmarinus officinalis",0.193710691823899
"Doñana",2020,"Villamanrique Sur",2,"Cistus salvifolius",0
"Doñana",2020,"Villamanrique Sur",2,"Rosmarinus officinalis",0
"Doñana",2020,"Pinar Aznalcazar",2,"Cistus albidus",0.434782608695652
"Doñana",2020,"Pinar Aznalcazar",2,"Rosmarinus officinalis",0.434782608695652
"Doñana",2020,"Pinar Puebla",3,"Cistus crispus",0.158437382827147
"Doñana",2020,"Pinar Puebla",3,"Cistus ladanifer",0.524862225102297
"Doñana",2020,"Pinar Puebla",3,"Cistus salvifolius",0.393114074317531
"Doñana",2020,"Pinar Puebla",3,"Echium plantagineum",0.457106534774851
"Doñana",2020,"Pinar Puebla",3,"Genista hirsuta",0.20146657618746
"Doñana",2020,"Pinar Puebla",3,"Lavandula stoechas",0.353377198074423
