"Site_id","Year","Bosque","Periodo","Anidamiento","poll.sp","plant.sp","comp.fun.pol","comp.fun.pl","robustness.pol","robustness.pl","connectance","asymmetry"
"Doñana",2020,"Pinar Puebla",1,0.198272140807649,9,4,191.67058459659,191.098457954797,0.528110192517247,0.319375,0.305555555555556,0.384615384615385
"Doñana",2020,"Pinar Hinojos",1,0.336681901508854,8,2,43.6216489580921,40.8411557133243,0.64826417972514,0.1421875,0.5625,0.6
"Doñana",2020,"Villamanrique Chaparral",1,0.520086284394184,9,3,59.8976019972796,56.9580256090193,0.684374584225862,0.292592592592593,0.444444444444444,0.5
"Doñana",2020,"Pinar Puebla",2,0.35540355446794,9,5,139.406731751441,135.575352701125,0.569174142789373,0.386841091991444,0.311111111111111,0.285714285714286
"Doñana",2020,"Pinar Hinojos",2,0,6,3,8.02759994358028,9.4142135623731,0.438294753951903,0.232777777777778,0.333333333333333,0.333333333333333
"Doñana",2020,"Villamanrique Chaparral",2,0.468477039022577,8,2,32.0402992363327,27.8567765543682,0.693689872867174,0.148125,0.5625,0.6
"Doñana",2020,"Villamanrique Sur",2,0,6,2,17.74852836975,16.9705627484771,0.605562790163242,0.121666666666667,0.5,0.5
"Doñana",2020,"Pinar Aznalcazar",2,0.549450549450549,5,2,32.5748823781198,32.4961536185438,0.433953722852232,0.142,0.6,0.428571428571429
"Doñana",2020,"Pinar Puebla",3,1.16504891510045,15,8,47.296899450124,40.0616096623288,0.717303136663021,0.502600018451333,0.266666666666667,0.304347826086957
"Doñana",2020,"Pinar Hinojos",3,0.909533253787342,8,4,14.2172038581366,15.0251521390389,0.441290599497154,0.35015625,0.3125,0.333333333333333
"Doñana",2020,"Villamanrique Sur",3,1.01548873879327,10,3,16.0543674561437,21.3993641138494,0.666250755649936,0.271777777777778,0.433333333333333,0.538461538461538
"Doñana",2020,"Villamanrique Chaparral",3,0.580261121991772,9,6,70.6885137086641,69.6733296866176,0.64924317982489,0.520695408069679,0.388888888888889,0.2
"Doñana",2020,"Pinar Aznalcazar",3,0.964538333685514,8,6,41.9159974482519,43.1312205686946,0.503150259362647,0.439387720026877,0.291666666666667,0.142857142857143
"Doñana",2020,"Pinar Puebla",4,0.691593739927606,6,4,14.0067074394185,13.989192583639,0.467977507460851,0.30890625,0.291666666666667,0.2
"Doñana",2020,"Pinar Hinojos",4,1.02286132964083,6,4,35.1908987037976,32.8085433068644,0.51772641707064,0.40171875,0.458333333333333,0.2
"Doñana",2020,"Villamanrique Sur",4,1.75628231229902,10,5,14.3552002659518,17.0263469036797,0.529821897930753,0.38204813226888,0.26,0.333333333333333
"Doñana",2020,"Villamanrique Chaparral",4,0.932584585400057,15,6,43.5673424966472,41.0607267817111,0.671438216868172,0.402728446548432,0.222222222222222,0.428571428571429
"Doñana",2020,"Pinar Aznalcazar",4,0.403032956698231,11,4,10.392688483796,11.9462953480129,0.645541249179164,0.316193181818182,0.272727272727273,0.466666666666667
"Doñana",2020,"Pinar Puebla",5,0.97538486828431,7,5,27.3314508449271,25.5029848342691,0.520638995790889,0.40245785712817,0.314285714285714,0.166666666666667
"Doñana",2020,"Villamanrique Sur",5,1.14138761249241,8,5,8.56055044817813,10.6725785138313,0.466364988984235,0.379879618887772,0.275,0.230769230769231
"Doñana",2020,"Villamanrique Chaparral",5,0.930423430583802,9,7,34.2554715324288,33.0591135089953,0.618429784283178,0.499018758575482,0.285714285714286,0.125
"Doñana",2020,"Pinar Aznalcazar",5,0.558858030497419,5,5,9.86067467586918,8.51398484502916,0.353233413786722,0.354618724121624,0.24,0
"Doñana",2020,"Pinar Hinojos",6,0,6,3,4.24264068711929,5.96811878506867,0.51319896789916,0.220185185185185,0.333333333333333,0.333333333333333
"Doñana",2020,"Pinar Puebla",6,0,3,3,3.46410161513775,3.46410161513775,0.282962962962963,0.280740740740741,0.444444444444444,0
"Doñana",2020,"Villamanrique Sur",6,1.69116339376084,8,4,9.81770565039869,10.6263923755722,0.532853726646342,0.332578125,0.3125,0.333333333333333
"Doñana",2020,"Villamanrique Chaparral",6,0.889682683111248,6,6,12.6617009523247,13.5480503312102,0.417656301270197,0.423084439470544,0.25,0
"Doñana",2021,"Pinar Aznalcazar",1,0.28204018833908,7,3,67.4133314155866,57.3868222039195,0.465806264755352,0.252698412698413,0.428571428571429,0.4
"Doñana",2021,"Pinar Hinojos",1,0,9,3,13.900497842321,18.6667302450538,0.490292630239838,0.188888888888889,0.333333333333333,0.5
"Doñana",2021,"Pinar Hinojos",2,0.405055521636256,9,5,20.8874177241042,24.4330956002918,0.487283208962227,0.333220427820758,0.222222222222222,0.285714285714286
"Doñana",2021,"Pinar Hinojos",4,1.34948395670574,7,3,4.35815586673916,6.09524105384777,0.548685096850979,0.253492063492064,0.428571428571429,0.4
"Doñana",2021,"Pinar Hinojos",5,1.21141475978222,12,6,11.1327814906877,13.4399166207364,0.528161386132933,0.39015433807772,0.194444444444444,0.333333333333333
"Doñana",2021,"Pinar Hinojos",6,0.896741656914216,12,7,28.7570075374475,23.9383831529966,0.567221866344829,0.38508250538326,0.19047619047619,0.263157894736842
"Doñana",2021,"Pinar Hinojos",7,1.04808116223381,9,5,24.1678266912052,23.4082414865745,0.606030634815303,0.428658237563649,0.333333333333333,0.285714285714286
"Doñana",2021,"Pinar Hinojos",8,0.522853565446354,11,4,41.308382028593,37.4174712797233,0.592924323989892,0.286789772727273,0.295454545454545,0.466666666666667
