Fecha,Hora,Bosque,"Transecto (1,2,3)",Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Ronda,Codigo_Final,Latitude,Longitude
26/04/22,11:14:00,1,1,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,11:16:00,1,1,Bellis perennis,,,si,17,,2,,,
26/04/22,11:21:00,1,1,Taraxacum officinale,?=12,,no,,,2,,,
26/04/22,11:26:00,1,1,Bellis perennis,?=1,,no,,,2,,,
26/04/22,11:29:00,1,1,Bellis perennis,?=1,,no,,,2,,,
26/04/22,11:30:00,1,1,Bellis perennis,?=17,,no,,,2,,,
26/04/22,11:31:00,1,1,Hutchinsia alpina,?=17,,no,,,2,,,
26/04/22,11:33:00,1,1,Taraxacum officinale,?=11,,no,,,2,,,
26/04/22,11:38:00,1,1,Bellis perennis,?=17,,no,,,2,,,
26/04/22,12:59:00,1,2,Bellis perennis,?=1,,no,,,2,,,
26/04/22,13:01:00,1,2,Helleborus viridis,Apis mellifera,,no,,,2,,,
26/04/22,13:12:00,1,2,Helleborus viridis,,,si,18,,2,,,
26/04/22,13:03:00,1,2,Taraxacum officinale,?=12,,no,,,2,,,
26/04/22,13:18:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,13:20:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,13:21:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,13:22:00,1,2,Bellis perennis,?=1,,no,,,2,,,
26/04/22,13:35:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,13:37:00,1,2,Bellis perennis,?=1,,no,,,2,,,
26/04/22,13:38:00,1,2,Bellis perennis,?=1,,no,,,2,,,
26/04/22,13:41:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,13:44:00,1,2,Helleborus viridis,Bombus terrestris reina,,no,,,2,,,
26/04/22,13:45:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,13:50:00,1,2,Helleborus viridis,Bombus terrestris reina,,no,,,2,,,
26/04/22,13:51:00,1,2,Helleborus viridis,,,no,19,,2,,,
