"Site_id","Year","Bosque","Periodo","Especies","norm_degree","weight_closeness","d"
"Doñana","2021","Villamanrique Sur","1","Rosmarinus officinalis",0.111111111111111,0.769230769230769,1
"Doñana","2021","Villamanrique Sur","1","Cistus salviifolius",1,1.23076923076923,0.647389321559071
"Doñana","2021","Villamanrique Sur","1","Rosmarinus officinalis",0.111111111111111,0.769230769230769,0.410043723977943
"Doñana","2021","Villamanrique Sur","2","Cistus salviifolius",1,1.375,0
"Doñana","2021","Villamanrique Sur","2","Rosmarinus officinalis",0.0769230769230769,0.625,1
"Doñana","2021","Villamanrique Sur","2","Cistus salviifolius",1,1.375,0.647389321559071
"Doñana","2021","Villamanrique Sur","2","Rosmarinus officinalis",0.0769230769230769,0.625,0.410043723977943
"Doñana","2021","Villamanrique Sur","4","Cistus salviifolius",0.9375,1.27272727272727,0
"Doñana","2021","Villamanrique Sur","4","Halimium halimifolium",0.25,0.727272727272727,1
"Doñana","2021","Villamanrique Sur","4","Cistus salviifolius",0.9375,1.27272727272727,0.647389321559071
"Doñana","2021","Villamanrique Sur","4","Halimium halimifolium",0.25,0.727272727272727,0.410043723977943
"Doñana","2021","Pinar Aznalcazar","8","Cistus crispus",0.133333333333333,NA,0
"Doñana","2021","Pinar Aznalcazar","8","Tolpis barbata",0.733333333333333,NA,1
"Doñana","2021","Pinar Aznalcazar","8","Aetheorhiza bulbosa",0.0666666666666667,NA,0.647389321559071
"Doñana","2021","Pinar Aznalcazar","8","Echium plantagineum",0.0666666666666667,NA,0.410043723977943
"Doñana","2021","Pinar Puebla","6","Galactites tomentosus",0.444444444444444,1.02923976608187,0
"Doñana","2021","Pinar Puebla","6","Andryala integrifolia",0.444444444444444,0.355555555555556,1
"Doñana","2021","Pinar Puebla","6","Andryala arenaria",0.444444444444444,0,0.647389321559071
"Doñana","2021","Pinar Puebla","6","Tolpis barbata",0.111111111111111,0.111111111111111,0.410043723977943
"Doñana","2021","Pinar Puebla","7","Galactites tomentosus",0.5,1.42857142857143,0
"Doñana","2021","Pinar Puebla","7","Andryala arenaria",0.166666666666667,0,1
"Doñana","2021","Pinar Puebla","7","Silene colorata",0.333333333333333,0,0.647389321559071
"Doñana","2021","Pinar Puebla","7","Tolpis barbata",0.333333333333333,0.571428571428571,0.410043723977943
"Gorbea","2020","5","2","Taraxacum sp.",0.285714285714286,0,0
"Gorbea","2020","5","2","Potentilla erecta",0.428571428571429,0.0192307692307692,1
"Gorbea","2020","5","2","Scilla verna",0.285714285714286,1.98076923076923,0.647389321559071
"Gorbea","2020","5","2","Pedicularis sylvatica subsp. sylvatica",0.142857142857143,0,0.410043723977943
"Gorbea","2020","5","4","Scorzonera humilis",0.0833333333333333,0,0
"Gorbea","2020","5","4","Ranunculus sp.",0.583333333333333,1,1
"Gorbea","2020","5","4","Potentilla erecta",0.0833333333333333,0,0.647389321559071
"Gorbea","2020","5","4","Daboecia cantabrica",0.416666666666667,1,0.410043723977943
"Gorbea","2020","2","8","Trifolium repens",0.444444444444444,0.0588780236747298,0
"Gorbea","2020","2","8","Plantago sp.",0.222222222222222,0.0266236385639371,1
"Gorbea","2020","2","8","Prunella grandiflora",0.111111111111111,0.0353407415906864,0.647389321559071
"Gorbea","2020","2","8","Prunella vulgaris",0.333333333333333,0.0266236385639371,0.410043723977943
"Gorbea","2020","2","8","Bellis perennis",0.222222222222222,0.038630377524144,0
"Gorbea","2020","2","8","Ranunculus sp.",0.111111111111111,0.041044776119403,1
"Gorbea","2020","2","8","Taraxacum sp.",0.111111111111111,0.0329747254165077,0.647389321559071
"Gorbea","2020","2","8","Thymus praecox subsp. polytrichus",0.333333333333333,0.0997682705005856,0.410043723977943
"Gorbea","2020","3","8","Erica vagans",0.214285714285714,0.0354609929078014,0
"Gorbea","2020","3","8","Achillea millefolium",0.0714285714285714,0.0350877192982456,1
"Gorbea","2020","3","8","Trifolium repens",0.142857142857143,0.0374531835205993,0.647389321559071
"Gorbea","2020","3","8","Prunella grandiflora",0.0714285714285714,0.0256410256410256,0.410043723977943
"Gorbea","2020","3","8","Thymus praecox subsp. polytrichus",0.142857142857143,0.0350877192982456,0
"Gorbea","2020","3","8","Trifolium pratense",0.0714285714285714,0,1
"Gorbea","2020","3","8","Plantago sp.",0.214285714285714,0.037037037037037,0.647389321559071
"Gorbea","2020","3","8","Potentilla erecta",0.0714285714285714,0,0.410043723977943
"Gorbea","2020","3","8","Bellis perennis",0.0714285714285714,0.0374531835205993,0
"Gorbea","2020","3","8","Teucrium pyrenaicum L. subsp. pyrenaicum",0.142857142857143,0.0617283950617284,1
"Gorbea","2020","3","8","Ranunculus sp.",0.428571428571429,0.0617283950617284,0.647389321559071
"Gorbea","2020","3","8","Lotus corniculatus",0.0714285714285714,0.0466200466200466,0.410043723977943
"Gorbea","2020","5","8","Erica cinerea",0.166666666666667,0,0
"Gorbea","2020","5","8","Ulex gallii",0.833333333333333,0.290909090909091,1
"Gorbea","2020","5","8","Daboecia cantabrica",0.166666666666667,0.290909090909091,0.647389321559071
"Gorbea","2020","5","8","Potentilla erecta",0.166666666666667,0.242424242424242,0.410043723977943
"Gorbea","2020","4","8","Erica cinerea",0.111111111111111,0.165289256198347,0
"Gorbea","2020","4","8","Taraxacum sp.",0.333333333333333,0,1
"Gorbea","2020","4","8","Potentilla erecta",0.111111111111111,0.13986013986014,0.647389321559071
"Gorbea","2020","4","8","Ranunculus sp.",0.222222222222222,0.12987012987013,0.410043723977943
"Gorbea","2020","4","8","Prunella grandiflora",0.111111111111111,0,0
"Gorbea","2020","4","8","Jasione sp.",0.111111111111111,0.165289256198347,1
"Gorbea","2020","4","8","Trifolium repens",0.444444444444444,0.25974025974026,0.647389321559071
"Gorbea","2020","4","8","Bellis perennis",0.111111111111111,0,0.410043723977943
"Gorbea","2021","1","1","Ranunculus ficaria",0.166666666666667,0.116883116883117,0
"Gorbea","2021","1","1","Taraxacum sp.",0.333333333333333,0.122448979591837,1
"Gorbea","2021","1","1","Helleborus viridis subsp. occidentalis",0.166666666666667,0.111801242236025,0.647389321559071
"Gorbea","2021","1","1","Bellis perennis",0.833333333333333,0.428571428571429,0.410043723977943
"Gorbea","2021","3","2","Scilla verna",0.333333333333333,NA,0
"Gorbea","2021","3","2","Lathyrus linifolius",0.666666666666667,NA,1
"Gorbea","2021","3","2","Scilla verna",0.333333333333333,NA,0.647389321559071
"Gorbea","2021","3","2","Lathyrus linifolius",0.666666666666667,NA,0.410043723977943
"Gorbea","2021","2","3","Taraxacum sp.",0.5,NA,0
"Gorbea","2021","2","3","Bellis perennis",0.5,NA,1
"Gorbea","2021","2","3","Taraxacum sp.",0.5,NA,0.647389321559071
