"","X.1","X","Fecha","Bosque","Especie.planta","Numero.flores","full.x","Periodo","full.y","full","Site","Year"
"63",63,63,"2020-05-05","4","Lathyrus linifolius",6,1,1,NA,NA,"Gorbea",2020
"64",64,64,"2020-05-05","4","Viola riviniana",9,1,1,NA,NA,"Gorbea",2020
"65",65,65,"2020-05-05","4","Taraxacum sp.",38,1,1,NA,NA,"Gorbea",2020
"66",66,66,"2020-05-05","4","Ranunculus sp.",36,1,1,NA,NA,"Gorbea",2020
"67",67,67,"2020-05-05","4","Scilla verna",79,1,1,NA,NA,"Gorbea",2020
"68",68,68,"2020-05-05","4","Bellis perennis",141,1,1,NA,NA,"Gorbea",2020
"69",69,69,"2020-05-05","4","Vaccinium myrtillus",4,1,1,NA,NA,"Gorbea",2020
"70",70,70,"2020-05-06","1","Pinguicula grandiflora subsp. Grandiflora",58,1,3,NA,NA,"Gorbea",2020
"71",71,71,"2020-05-06","1","Taraxacum sp.",405,1,3,NA,NA,"Gorbea",2020
"72",72,72,"2020-05-06","1","Bellis perennis",5551,1,3,NA,NA,"Gorbea",2020
"73",73,73,"2020-05-06","1","Scilla verna",326,1,3,NA,NA,"Gorbea",2020
"74",74,74,"2020-05-06","1","Ranunculus sp.",83,1,3,NA,NA,"Gorbea",2020
"75",75,75,"2020-05-06","1","Viola riviniana",41,1,3,NA,NA,"Gorbea",2020
"76",76,76,"2020-05-06","1","Veronica sp.",183,1,3,NA,NA,"Gorbea",2020
"77",77,77,"2020-05-06","1","Potentilla montana",2,1,3,NA,NA,"Gorbea",2020
"78",78,78,"2020-05-06","1","Globularia nudicaulis",3,1,3,NA,NA,"Gorbea",2020
"79",79,79,"2020-05-06","1","Hutchinsia alpina",NA,1,3,NA,NA,"Gorbea",2020
"80",80,80,"2020-05-06","1","Vicia pyrenaica",82,1,3,NA,NA,"Gorbea",2020
"81",81,81,"2020-05-06","1","Polygala vulgaris",81,1,3,NA,NA,"Gorbea",2020
"82",82,82,"2020-05-06","1","Geranium robertianum",11,1,3,NA,NA,"Gorbea",2020
"83",83,83,"2020-05-06","1","Erysimum gorbeanum",13,1,3,NA,NA,"Gorbea",2020
"84",84,84,"2020-05-07","2","Taraxacum sp.",334,1,2,NA,NA,"Gorbea",2020
"85",85,85,"2020-05-07","2","Bellis perennis",4098,1,2,NA,NA,"Gorbea",2020
"86",86,86,"2020-05-07","2","Cardamine pratensis",20,1,2,NA,NA,"Gorbea",2020
"87",87,87,"2020-05-07","2","Ranunculus sp.",74,1,2,NA,NA,"Gorbea",2020
"88",88,88,"2020-05-07","2","Viola riviniana",7,1,2,NA,NA,"Gorbea",2020
"89",89,89,"2020-05-07","2","Geranium robertianum",2,1,2,NA,NA,"Gorbea",2020
"90",90,90,"2020-05-07","2","Veronica sp.",68,1,2,NA,NA,"Gorbea",2020
"91",91,91,"2020-05-07","2","Potentilla erecta",67,1,2,NA,NA,"Gorbea",2020
"92",92,92,"2020-05-07","2","Pedicularis sylvatica subsp. sylvatica",2,1,2,NA,NA,"Gorbea",2020
"93",93,93,"2020-05-07","2","Hutchinsia alpina",12,1,2,NA,NA,"Gorbea",2020
"94",94,94,"2020-05-07","2","Myosotis lamottiana",44,1,2,NA,NA,"Gorbea",2020
"95",95,95,"2020-05-07","2","Lysimachia nemorum",36,1,2,NA,NA,"Gorbea",2020
"96",96,96,"2020-05-07","2","Polygala vulgaris",10,1,2,NA,NA,"Gorbea",2020
"97",97,97,"2020-05-17","1","Scilla verna",10,1,4,NA,NA,"Gorbea",2020
"98",98,98,"2020-05-17","1","Bellis perennis",4196,1,4,NA,NA,"Gorbea",2020
"99",99,99,"2020-05-17","1","Ranunculus sp.",369,1,4,NA,NA,"Gorbea",2020
"100",100,100,"2020-05-17","1","Vicia pyrenaica",160,1,4,NA,NA,"Gorbea",2020
"101",101,101,"2020-05-17","1","Erysimum gorbeanum",33,1,4,NA,NA,"Gorbea",2020
"102",102,102,"2020-05-17","1","Euphrasia sp.",3,1,4,NA,NA,"Gorbea",2020
"103",103,103,"2020-05-17","1","Polygala vulgaris",25,1,4,NA,NA,"Gorbea",2020
"104",104,104,"2020-05-17","1","Potentilla montana",16,1,4,NA,NA,"Gorbea",2020
"105",105,105,"2020-05-17","1","Erinus alpinus",782,1,4,NA,NA,"Gorbea",2020
"106",106,106,"2020-05-17","1","Taraxacum sp.",166,1,4,NA,NA,"Gorbea",2020
"107",107,107,"2020-05-17","1","Linaria propinqua",23,1,4,NA,NA,"Gorbea",2020
"108",108,108,"2020-05-17","1","Geranium robertianum",126,1,4,NA,NA,"Gorbea",2020
