"","Site_id","Year","Bosque","Periodo","Planta","Degree","Specialization","Closeness","match.x","tot.visits.pl","pl.mean.fs","se.pl.fs","pl.mean.sn","se.pl.sn","morisita","Anidamiento","poll.sp","plant.sp","comp.fun.pol","comp.fun.pl","match.y","mean.fs","se.fs","mean.sn","se.sn","total.visits"
"19","Doñana",2020,"Pinar Puebla",4,"Cistus salvifolius",0.166666666666667,0,1,"Doñana_2020_Pinar Puebla_4_Cistus salvifolius",5,NA,NA,NA,NA,0.1,0.691593739927606,6,4,14.0067074394185,13.989192583639,"Doñana_2020_Pinar Puebla_4",NA,NA,NA,NA,11
"20","Doñana",2020,"Pinar Puebla",4,"Galactite tomentosa",0.5,1,0.725565459249965,"Doñana_2020_Pinar Puebla_4_Galactite tomentosa",3,NA,NA,NA,NA,0,0.691593739927606,6,4,14.0067074394185,13.989192583639,"Doñana_2020_Pinar Puebla_4",NA,NA,NA,NA,11
"21","Doñana",2020,"Pinar Puebla",4,"Leontodon hispidus",0.333333333333333,1,0.698970004336019,"Doñana_2020_Pinar Puebla_4_Leontodon hispidus",2,NA,NA,NA,NA,0.1,0.691593739927606,6,4,14.0067074394185,13.989192583639,"Doñana_2020_Pinar Puebla_4",NA,NA,NA,NA,11
"22","Doñana",2020,"Pinar Puebla",5,"Echium plantagineum",0.142857142857143,0.0588235294117647,0,"Doñana_2020_Pinar Puebla_5_Echium plantagineum",1,NA,NA,NA,NA,0.294117647058824,0.97538486828431,7,5,27.3314508449271,25.5029848342691,"Doñana_2020_Pinar Puebla_5",NA,NA,NA,NA,25
"23","Doñana",2020,"Pinar Puebla",5,"Galactite tomentosa",0.428571428571429,0.144385026737968,0.561661053416109,"Doñana_2020_Pinar Puebla_5_Galactite tomentosa",11,NA,NA,NA,NA,0.301144674085851,0.97538486828431,7,5,27.3314508449271,25.5029848342691,"Doñana_2020_Pinar Puebla_5",NA,NA,NA,NA,25
"24","Doñana",2020,"Pinar Puebla",5,"Lavandula stoechas",0.142857142857143,0.132352941176471,0.649149872836091,"Doñana_2020_Pinar Puebla_5_Lavandula stoechas",2,NA,NA,NA,NA,0.166666666666667,0.97538486828431,7,5,27.3314508449271,25.5029848342691,"Doñana_2020_Pinar Puebla_5",NA,NA,NA,NA,25
"25","Doñana",2020,"Pinar Puebla",5,"Leontodon hispidus",0.571428571428571,0.132352941176471,0.233749174145425,"Doñana_2020_Pinar Puebla_5_Leontodon hispidus",9,NA,NA,NA,NA,0.267027027027027,0.97538486828431,7,5,27.3314508449271,25.5029848342691,"Doñana_2020_Pinar Puebla_5",NA,NA,NA,NA,25
"26","Doñana",2020,"Pinar Puebla",5,"Tolpis barbata",0.285714285714286,0.0756302521008403,0.649149872836091,"Doñana_2020_Pinar Puebla_5_Tolpis barbata",2,NA,NA,NA,NA,0.16,0.97538486828431,7,5,27.3314508449271,25.5029848342691,"Doñana_2020_Pinar Puebla_5",NA,NA,NA,NA,25
"27","Doñana",2020,"Pinar Puebla",6,"Lavandula stoechas",0.666666666666667,0,1,"Doñana_2020_Pinar Puebla_6_Lavandula stoechas",2,NA,NA,NA,NA,NA,0,3,3,3.46410161513775,3.46410161513775,"Doñana_2020_Pinar Puebla_6",NA,NA,NA,NA,4
"28","Doñana",2020,"Pinar Puebla",6,"Malva hispanica",0.333333333333333,1,0,"Doñana_2020_Pinar Puebla_6_Malva hispanica",1,NA,NA,NA,NA,NA,0,3,3,3.46410161513775,3.46410161513775,"Doñana_2020_Pinar Puebla_6",NA,NA,NA,NA,4
"29","Doñana",2020,"Pinar Puebla",6,"Tuberaria guttata",0.333333333333333,1,0,"Doñana_2020_Pinar Puebla_6_Tuberaria guttata",1,NA,NA,NA,NA,NA,0,3,3,3.46410161513775,3.46410161513775,"Doñana_2020_Pinar Puebla_6",NA,NA,NA,NA,4
"30","Doñana",2020,"Pinar Hinojos",1,"Halimium commutatum",0.875,1.75,0.510086910923171,"Doñana_2020_Pinar Hinojos_1_Halimium commutatum",35,NA,NA,NA,NA,0.117618819011042,0.336681901508854,8,2,43.6216489580921,40.8411557133243,"Doñana_2020_Pinar Hinojos_1",NA,NA,NA,NA,37
"31","Doñana",2020,"Pinar Hinojos",1,"Romulea bulbocodium",0.25,0.25,0.586088575743128,"Doñana_2020_Pinar Hinojos_1_Romulea bulbocodium",2,NA,NA,NA,NA,0.117618819011042,0.336681901508854,8,2,43.6216489580921,40.8411557133243,"Doñana_2020_Pinar Hinojos_1",NA,NA,NA,NA,37
"32","Doñana",2020,"Pinar Hinojos",2,"Anemone palmata",0.166666666666667,NA,1,"Doñana_2020_Pinar Hinojos_2_Anemone palmata",1,NA,NA,NA,NA,0,0,6,3,8.02759994358028,9.4142135623731,"Doñana_2020_Pinar Hinojos_2",NA,NA,NA,NA,9
"33","Doñana",2020,"Pinar Hinojos",2,"Genista hirsuta",0.166666666666667,NA,1,"Doñana_2020_Pinar Hinojos_2_Genista hirsuta",1,NA,NA,NA,NA,0,0,6,3,8.02759994358028,9.4142135623731,"Doñana_2020_Pinar Hinojos_2",NA,NA,NA,NA,9
"34","Doñana",2020,"Pinar Hinojos",2,"Halimium calycinum",0.666666666666667,NA,1,"Doñana_2020_Pinar Hinojos_2_Halimium calycinum",7,NA,NA,NA,NA,0,0,6,3,8.02759994358028,9.4142135623731,"Doñana_2020_Pinar Hinojos_2",NA,NA,NA,NA,9
"35","Doñana",2020,"Pinar Hinojos",3,"Cistus albidus",0.125,0.375,0.226294385530917,"Doñana_2020_Pinar Hinojos_3_Cistus albidus",1,NA,NA,NA,NA,NA,0.909533253787342,8,4,14.2172038581366,15.0251521390389,"Doñana_2020_Pinar Hinojos_3",NA,NA,NA,NA,17
"36","Doñana",2020,"Pinar Hinojos",3,"Echium plantagineum",0.125,0,1,"Doñana_2020_Pinar Hinojos_3_Echium plantagineum",1,NA,NA,NA,NA,NA,0.909533253787342,8,4,14.2172038581366,15.0251521390389,"Doñana_2020_Pinar Hinojos_3",NA,NA,NA,NA,17
"37","Doñana",2020,"Pinar Hinojos",3,"Halimium calycinum",0.125,0.375,0.226294385530917,"Doñana_2020_Pinar Hinojos_3_Halimium calycinum",1,NA,NA,NA,NA,NA,0.909533253787342,8,4,14.2172038581366,15.0251521390389,"Doñana_2020_Pinar Hinojos_3",NA,NA,NA,NA,17
"38","Doñana",2020,"Pinar Hinojos",3,"Leontodon hispidus",0.875,0.75,0.44211410869774,"Doñana_2020_Pinar Hinojos_3_Leontodon hispidus",14,NA,NA,NA,NA,NA,0.909533253787342,8,4,14.2172038581366,15.0251521390389,"Doñana_2020_Pinar Hinojos_3",NA,NA,NA,NA,17
"39","Doñana",2020,"Pinar Hinojos",4,"Anthemis arvensis",0.5,0.115384615384615,0.421572025768018,"Doñana_2020_Pinar Hinojos_4_Anthemis arvensis",6,NA,NA,NA,NA,NA,1.02286132964083,6,4,35.1908987037976,32.8085433068644,"Doñana_2020_Pinar Hinojos_4",NA,NA,NA,NA,34
"40","Doñana",2020,"Pinar Hinojos",4,"Cistus libanotis",0.166666666666667,0.416666666666667,0.61670361567064,"Doñana_2020_Pinar Hinojos_4_Cistus libanotis",5,NA,NA,NA,NA,NA,1.02286132964083,6,4,35.1908987037976,32.8085433068644,"Doñana_2020_Pinar Hinojos_4",NA,NA,NA,NA,34
"41","Doñana",2020,"Pinar Hinojos",4,"Cistus salvifolius",0.166666666666667,0.25,0.442344631008066,"Doñana_2020_Pinar Hinojos_4_Cistus salvifolius",3,NA,NA,NA,NA,NA,1.02286132964083,6,4,35.1908987037976,32.8085433068644,"Doñana_2020_Pinar Hinojos_4",NA,NA,NA,NA,34
"42","Doñana",2020,"Pinar Hinojos",4,"Leontodon hispidus",1,0.120689655172414,0.527717770195824,"Doñana_2020_Pinar Hinojos_4_Leontodon hispidus",20,NA,NA,NA,NA,NA,1.02286132964083,6,4,35.1908987037976,32.8085433068644,"Doñana_2020_Pinar Hinojos_4",NA,NA,NA,NA,34
"43","Doñana",2020,"Pinar Hinojos",5,"Anthemis arvensis",0.5,0.25,0.0518184480246397,"Doñana_2020_Pinar Hinojos_5_Anthemis arvensis",3,NA,NA,NA,NA,0.478108581436077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Doñana",2020,"Pinar Hinojos",5,"Leontodon hispidus",1,1.75,0.000949562010252182,"Doñana_2020_Pinar Hinojos_5_Leontodon hispidus",26,NA,NA,NA,NA,0.478108581436077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Doñana",2020,"Pinar Hinojos",6,"Anthemis arvensis",0.166666666666667,NA,NA,"Doñana_2020_Pinar Hinojos_6_Anthemis arvensis",1,NA,NA,NA,NA,0,0,6,3,4.24264068711929,5.96811878506867,"Doñana_2020_Pinar Hinojos_6",NA,NA,NA,NA,6
"46","Doñana",2020,"Pinar Hinojos",6,"Leontodon hispidus",0.5,NA,NA,"Doñana_2020_Pinar Hinojos_6_Leontodon hispidus",3,NA,NA,NA,NA,0,0,6,3,4.24264068711929,5.96811878506867,"Doñana_2020_Pinar Hinojos_6",NA,NA,NA,NA,6
"47","Doñana",2020,"Pinar Hinojos",6,"Muscari comosum",0.333333333333333,NA,NA,"Doñana_2020_Pinar Hinojos_6_Muscari comosum",2,NA,NA,NA,NA,0,0,6,3,4.24264068711929,5.96811878506867,"Doñana_2020_Pinar Hinojos_6",NA,NA,NA,NA,6
"48","Doñana",2020,"Villamanrique Chaparral",1,"Asphodelus fistulosus",0.444444444444444,0.0857142857142857,0.212963170635489,"Doñana_2020_Villamanrique Chaparral_1_Asphodelus fistulosus",5,NA,NA,NA,NA,0.321141006642226,0.520086284394184,9,3,59.8976019972796,56.9580256090193,"Doñana_2020_Villamanrique Chaparral_1",NA,NA,NA,NA,41
"49","Doñana",2020,"Villamanrique Chaparral",1,"Narcissus papyraceus",0.222222222222222,0.0489795918367347,0.872020987595092,"Doñana_2020_Villamanrique Chaparral_1_Narcissus papyraceus",2,NA,NA,NA,NA,0.0854700854700855,0.520086284394184,9,3,59.8976019972796,56.9580256090193,"Doñana_2020_Villamanrique Chaparral_1",NA,NA,NA,NA,41
"50","Doñana",2020,"Villamanrique Chaparral",1,"Rosmarinus officinalis",0.666666666666667,0.107142857142857,0.555211867800157,"Doñana_2020_Villamanrique Chaparral_1_Rosmarinus officinalis",34,NA,NA,NA,NA,0.23567092117214,0.520086284394184,9,3,59.8976019972796,56.9580256090193,"Doñana_2020_Villamanrique Chaparral_1",NA,NA,NA,NA,41
"51","Doñana",2020,"Villamanrique Chaparral",2,"Asphodelus fistulosus",0.375,0.133333333333333,0.56424441280702,"Doñana_2020_Villamanrique Chaparral_2_Asphodelus fistulosus",4,NA,NA,NA,NA,0.193710691823899,0.468477039022577,8,2,32.0402992363327,27.8567765543682,"Doñana_2020_Villamanrique Chaparral_2",NA,NA,NA,NA,26
"52","Doñana",2020,"Villamanrique Chaparral",2,"Rosmarinus officinalis",0.75,1.86666666666667,0.727206082537559,"Doñana_2020_Villamanrique Chaparral_2_Rosmarinus officinalis",22,NA,NA,NA,NA,0.193710691823899,0.468477039022577,8,2,32.0402992363327,27.8567765543682,"Doñana_2020_Villamanrique Chaparral_2",NA,NA,NA,NA,26
"53","Doñana",2020,"Villamanrique Chaparral",3,"Anthemis arvensis",0.222222222222222,0.0495177190143627,0.515254983692734,"Doñana_2020_Villamanrique Chaparral_3_Anthemis arvensis",2,NA,NA,NA,NA,0.138494244314391,0.580261121991772,9,6,70.6885137086641,69.6733296866176,"Doñana_2020_Villamanrique Chaparral_3",NA,NA,NA,NA,71
"54","Doñana",2020,"Villamanrique Chaparral",3,"Cistus crispus",0.444444444444444,0.346408406779322,0.385838049799097,"Doñana_2020_Villamanrique Chaparral_3_Cistus crispus",22,NA,NA,NA,NA,0.34113583554849,0.580261121991772,9,6,70.6885137086641,69.6733296866176,"Doñana_2020_Villamanrique Chaparral_3",NA,NA,NA,NA,71
"55","Doñana",2020,"Villamanrique Chaparral",3,"Cistus salvifolius",0.444444444444444,0.269855721339746,0.70195643574669,"Doñana_2020_Villamanrique Chaparral_3_Cistus salvifolius",21,NA,NA,NA,NA,0.0656264310263303,0.580261121991772,9,6,70.6885137086641,69.6733296866176,"Doñana_2020_Villamanrique Chaparral_3",NA,NA,NA,NA,71
"56","Doñana",2020,"Villamanrique Chaparral",3,"Echium plantagineum",0.444444444444444,0.122523654642224,0.424691425568198,"Doñana_2020_Villamanrique Chaparral_3_Echium plantagineum",9,NA,NA,NA,NA,0.298144694057722,0.580261121991772,9,6,70.6885137086641,69.6733296866176,"Doñana_2020_Villamanrique Chaparral_3",NA,NA,NA,NA,71
"57","Doñana",2020,"Villamanrique Chaparral",3,"Leontodon hispidus",0.666666666666667,0.236942551930857,0.507198865098268,"Doñana_2020_Villamanrique Chaparral_3_Leontodon hispidus",16,NA,NA,NA,NA,0.199817103521715,0.580261121991772,9,6,70.6885137086641,69.6733296866176,"Doñana_2020_Villamanrique Chaparral_3",NA,NA,NA,NA,71
"58","Doñana",2020,"Villamanrique Chaparral",3,"Tuberaria guttata",0.111111111111111,0.0282711127220007,0,"Doñana_2020_Villamanrique Chaparral_3_Tuberaria guttata",1,NA,NA,NA,NA,0.271041398599123,0.580261121991772,9,6,70.6885137086641,69.6733296866176,"Doñana_2020_Villamanrique Chaparral_3",NA,NA,NA,NA,71
"59","Doñana",2020,"Villamanrique Chaparral",4,"Andryala integrifolia",0.2,0.112531969309463,0.65573611692278,"Doñana_2020_Villamanrique Chaparral_4_Andryala integrifolia",3,NA,NA,NA,NA,NA,0.932584585400057,15,6,43.5673424966472,41.0607267817111,"Doñana_2020_Villamanrique Chaparral_4",NA,NA,NA,NA,43
"60","Doñana",2020,"Villamanrique Chaparral",4,"Anthemis arvensis",0.133333333333333,0,0.58188080631382,"Doñana_2020_Villamanrique Chaparral_4_Anthemis arvensis",2,NA,NA,NA,NA,NA,0.932584585400057,15,6,43.5673424966472,41.0607267817111,"Doñana_2020_Villamanrique Chaparral_4",NA,NA,NA,NA,43
"61","Doñana",2020,"Villamanrique Chaparral",4,"Cistus crispus",0.333333333333333,0.229565217391304,0.649568139518281,"Doñana_2020_Villamanrique Chaparral_4_Cistus crispus",17,NA,NA,NA,NA,NA,0.932584585400057,15,6,43.5673424966472,41.0607267817111,"Doñana_2020_Villamanrique Chaparral_4",NA,NA,NA,NA,43
"62","Doñana",2020,"Villamanrique Chaparral",4,"Cistus salvifolius",0.0666666666666667,0,0.903119070533486,"Doñana_2020_Villamanrique Chaparral_4_Cistus salvifolius",6,NA,NA,NA,NA,NA,0.932584585400057,15,6,43.5673424966472,41.0607267817111,"Doñana_2020_Villamanrique Chaparral_4",NA,NA,NA,NA,43
"63","Doñana",2020,"Villamanrique Chaparral",4,"Echium plantagineum",0.2,0.189723320158103,0.373595064063186,"Doñana_2020_Villamanrique Chaparral_4_Echium plantagineum",6,NA,NA,NA,NA,NA,0.932584585400057,15,6,43.5673424966472,41.0607267817111,"Doñana_2020_Villamanrique Chaparral_4",NA,NA,NA,NA,43
"64","Doñana",2020,"Villamanrique Chaparral",4,"Leontodon hispidus",0.4,0.107023411371237,0.87937633314988,"Doñana_2020_Villamanrique Chaparral_4_Leontodon hispidus",9,NA,NA,NA,NA,NA,0.932584585400057,15,6,43.5673424966472,41.0607267817111,"Doñana_2020_Villamanrique Chaparral_4",NA,NA,NA,NA,43
