"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","Anidamiento","poll.sp","plant.sp","comp.fun.pol","comp.fun.pl","robustness.pol","robustness.pl","connectance","asymmetry","match","total.visits"
"22","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"4,10",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"23","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"6,01",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"24","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.4,"6,04",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"25","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.6,"6,07",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"26","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"6,10",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"27","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"8,03",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"28","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.6,"8,10",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"29","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"9,03",1.26799989381784,9,5,19.0403947542455,16.2308262714623,0.566028440651481,0.370575913171866,0.288888888888889,0.285714285714286,"Doñana_2021_Pinar Aznalcazar_4",23
"30","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"(1,01)1",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"31","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"(1,01)2",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"32","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"1,02",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"33","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.4,"1,09",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"34","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"2,06",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"35","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.5,"4,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"36","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"5,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"37","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"6,02",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"38","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"6,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"39","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"7,03",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"40","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"7,06",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"41","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0,"7,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"42","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.5,"8,06",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"43","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"8,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
