"Site","Year","Bosque","Periodo","Species","Degree","Specialization","Closeness","nestedcontribution"
"Doñana","2020","Villamanrique Chaparral","3","Cistus salvifolius",0.444444444444444,0.269855721339746,0.70195643574669,0.707414495585682
"Doñana","2020","Villamanrique Chaparral","3","Echium plantagineum",0.444444444444444,0.122523654642224,0.424691425568198,1.04364182819076
"Doñana","2020","Villamanrique Chaparral","3","Leontodon hispidus",0.666666666666667,0.236942551930857,0.507198865098268,1.61100106620299
"Doñana","2020","Villamanrique Chaparral","3","Tuberaria guttata",0.111111111111111,0.0282711127220007,0,1.5353928183202
"Doñana","2020","Villamanrique Chaparral","4","Andryala integrifolia",0.2,0.112531969309463,0.65573611692278,0.334952329630687
"Doñana","2020","Villamanrique Chaparral","4","Anthemis arvensis",0.133333333333333,0,0.58188080631382,-0.332499507551569
"Doñana","2020","Villamanrique Chaparral","4","Cistus crispus",0.333333333333333,0.229565217391304,0.649568139518281,0.225584529545545
"Doñana","2020","Villamanrique Chaparral","4","Cistus salvifolius",0.0666666666666667,0,0.903119070533486,-0.209200238260294
"Doñana","2020","Villamanrique Chaparral","4","Echium plantagineum",0.2,0.189723320158103,0.373595064063186,0.464872667443352
"Doñana","2020","Villamanrique Chaparral","4","Leontodon hispidus",0.4,0.107023411371237,0.87937633314988,0.270872970768067
"Doñana","2020","Villamanrique Chaparral","5","Andryala integrifolia",0.444444444444444,0.0898155573376103,0.176818202008945,0.903070710633978
"Doñana","2020","Villamanrique Chaparral","5","Cistus crispus",0.222222222222222,0.0973630831643002,0.119906233284066,-0.505674173241625
"Doñana","2020","Villamanrique Chaparral","5","Cistus salvifolius",0.222222222222222,0,1,-1.02977310439148
"Doñana","2020","Villamanrique Chaparral","5","Echium plantagineum",0.444444444444444,0.340770791075051,0.346198297902565,0.820345924083487
"Doñana","2020","Villamanrique Chaparral","5","Galactite tomentosa",0.222222222222222,0.114714919767839,0.0497655832101643,0.0245019650138796
"Doñana","2020","Villamanrique Chaparral","5","Leontodon hispidus",0.333333333333333,0.0551724137931034,0.479090914859699,-0.0851638363074573
"Doñana","2020","Villamanrique Chaparral","5","Lysimachia arvensis",0.111111111111111,0.0526645768025078,0.520375066863737,0.461580958968409
"Doñana","2020","Villamanrique Chaparral","6","Andryala integrifolia",0.5,0.333333333333333,0.093794932357652,0.906745893598275
"Doñana","2020","Villamanrique Chaparral","6","Anthemis arvensis",0.166666666666667,0.125,0,0.122121793418934
"Doñana","2020","Villamanrique Chaparral","6","Asphodelus fistulosus",0.166666666666667,0.142857142857143,0.643792812891978,-0.0554201112499889
"Doñana","2020","Villamanrique Chaparral","6","Cistus salvifolius",0.166666666666667,0.2,0.0505981401487742,0.0533884156789292
"Doñana","2020","Villamanrique Chaparral","6","Cynara humilis",0.166666666666667,0,1,-0.87853890306123
"Doñana","2020","Villamanrique Chaparral","6","Echium plantagineum",0.333333333333333,0,1,-1.04082075471777
"Doñana","2020","Villamanrique Sur","2","Cistus salvifolius",0.333333333333333,NA,1,-2.029708139245
"Doñana","2020","Villamanrique Sur","2","Rosmarinus officinalis",0.666666666666667,NA,1,-1.56227238132894
"Doñana","2020","Villamanrique Sur","3","Anemone palmata",0.1,0.136363636363636,0.0642150259807986,-0.657115411423722
"Doñana","2020","Villamanrique Sur","3","Cistus salvifolius",0.8,0.9375,0.322417331449166,0.732944458516401
"Doñana","2020","Villamanrique Sur","3","Halimium halimifolium",0.4,0.314685314685315,0.344962759977224,-0.428261053363231
"Doñana","2020","Villamanrique Sur","4","Anemone palmata",0.1,0,1,-1.12072086403645
"Doñana","2020","Villamanrique Sur","4","Cistus salvifolius",0.8,0.3,0.423192429896938,1.86128017241901
"Doñana","2020","Villamanrique Sur","4","Halimium halimifolium",0.1,0.15,0.207518749639422,-0.0913809729413134
"Doñana","2020","Villamanrique Sur","4","Leontodon hispidus",0.1,0.25,0.673657673906779,-0.027550014009433
"Doñana","2020","Villamanrique Sur","4","Silene colorata",0.2,0.166666666666667,0.72105705434887,-0.170745073677326
"Doñana","2020","Villamanrique Sur","5","Andryala integrifolia",0.125,0,0,-1.52380462391346
"Doñana","2020","Villamanrique Sur","5","Cistus salvifolius",0.875,0.75,0.5,0.332381670182712
"Doñana","2020","Villamanrique Sur","5","Halimium halimifolium",0.125,0.375,0,-1.04556653333123
"Doñana","2020","Villamanrique Sur","5","Leontodon hispidus",0.125,0,0.688721875540867,-1.43408580789446
"Doñana","2020","Villamanrique Sur","5","Silene colorata",0.125,0.375,0,-1.10702284839487
"Doñana","2020","Villamanrique Sur","6","Andryala integrifolia",0.75,0.5,0.369070246428543,1.09622579631103
"Doñana","2020","Villamanrique Sur","6","Cistus salvifolius",0.125,0,1,-0.951103734364739
"Doñana","2020","Villamanrique Sur","6","Halimium halimifolium",0.25,0.333333333333333,0.613147192765458,-0.14657350829463
"Doñana","2020","Villamanrique Sur","6","Scolymus hispanicus",0.125,0.333333333333333,0.369070246428543,0.129656059242655
"Doñana","2020","Pinar Aznalcazar","2","Cistus albidus",0.2,0.117647058823529,0,-0.598050360401732
"Doñana","2020","Pinar Aznalcazar","2","Rosmarinus officinalis",1,1.88235294117647,0,1.17074380333998
"Doñana","2020","Pinar Aznalcazar","3","Cistus albidus",0.5,0.0988202000114729,0.273040974184224,0.801001152450407
"Doñana","2020","Pinar Aznalcazar","3","Cistus salvifolius",0.125,0.0737327188940092,0.14104693352182,-0.939888474277235
"Doñana","2020","Pinar Aznalcazar","3","Convolvulus arvensis",0.125,0.0365591397849462,0.557870541084993,-1.15775857690785
"Doñana","2020","Pinar Aznalcazar","3","Galactite tomentosa",0.125,0.0829401380195795,0.716196277383176,-1.32629067207
"Doñana","2020","Pinar Aznalcazar","3","Leontodon hispidus",0.75,0.0510127531882971,0.567811391993583,0.582622233113878
"Doñana","2020","Pinar Aznalcazar","3","Oxalis pes-caprae",0.125,0.0459888765294772,0.557870541084993,-1.25479283659514
"Doñana","2020","Pinar Aznalcazar","4","Cistus crispus",0.181818181818182,0.666666666666667,0.386852807234542,-1.07213070357332
"Doñana","2020","Pinar Aznalcazar","4","Convolvulus arvensis",0.181818181818182,0,1,-1.61462113089836
"Doñana","2020","Pinar Aznalcazar","4","Galactite tomentosa",0.272727272727273,1.33333333333333,0.673657673906779,-0.852977980009349
"Doñana","2020","Pinar Aznalcazar","4","Leontodon hispidus",0.454545454545455,0,1,-1.23858003966306
"Doñana","2020","Pinar Aznalcazar","5","Calendula arvensis",0.2,0,1,-0.531232714033228
"Doñana","2020","Pinar Aznalcazar","5","Cistus albidus",0.2,0,1,-0.574011815557158
"Doñana","2020","Pinar Aznalcazar","5","Cistus crispus",0.2,0,1,-0.565850076120802
"Doñana","2020","Pinar Aznalcazar","5","Galactite tomentosa",0.2,1,0,0.815902388532551
"Doñana","2020","Pinar Aznalcazar","5","Leontodon hispidus",0.4,1,0,0.285453405579542
"Doñana","2020","Pinar Aznalcazar","6","Cistus crispus",0.5,0,1,-0.609271795844943
"Doñana","2020","Pinar Aznalcazar","6","Leontodon hispidus",0.5,1,0,-0.609271795844942
"Doñana","2020","Pinar Aznalcazar","6","Malva hispanica",0.5,1,0,-0.453015409583959
"Doñana","2021","Pinar Aznalcazar","1","Cistus salviifolius",1,0.0348837209302326,0.767183622828938,2.04667369555642
"Doñana","2021","Pinar Aznalcazar","1","Lavandula stoechas",0.142857142857143,0.453488372093023,0.089280468239342,-1.67314662573392
"Doñana","2021","Pinar Aznalcazar","1","Rosmarinus officinalis",0.142857142857143,1.01162790697674,0.306450844634576,-1.65639881757675
"Doñana","2021","Pinar Aznalcazar","2","Cistus salviifolius",1,0.0517241379310345,0.778871148095346,2.14270438725973
"Doñana","2021","Pinar Aznalcazar","2","Lavandula stoechas",0.1,0.982758620689655,0.472392317575995,-1.92141013953432
"Doñana","2021","Pinar Aznalcazar","2","Rosmarinus officinalis",0.1,0.46551724137931,0.168228024673961,-2.21391087587389
"Doñana","2021","Pinar Aznalcazar","3","Cistus salviifolius",0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666
"Doñana","2021","Pinar Aznalcazar","3","Lavandula stoechas",0.307692307692308,1.21153846153846,0.767043828230251,-2.38113896284152
"Doñana","2021","Pinar Aznalcazar","3","Rosmarinus officinalis",0.153846153846154,0.0576923076923077,0.414083244786221,-2.015973909698
"Doñana","2021","Pinar Aznalcazar","4","Cistus ladanifer",0.333333333333333,0.121212121212121,0.488292780875542,0.182643512075567
"Doñana","2021","Pinar Aznalcazar","4","Cistus salviifolius",0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815
"Doñana","2021","Pinar Aznalcazar","4","Genista hirsuta",0.111111111111111,0.363636363636364,0.197317513939938,1.0954500341643
"Doñana","2021","Pinar Aznalcazar","4","Lavandula stoechas",0.333333333333333,0.519480519480519,0.267369635777969,0.592150741967161
"Doñana","2021","Pinar Aznalcazar","4","Rosmarinus officinalis",0.111111111111111,0,1,-1.35223111746995
"Doñana","2021","Pinar Aznalcazar","5","Aetheorhiza bulbosa",0.125,0,0.791985402323491,0.0859598869232688
"Doñana","2021","Pinar Aznalcazar","5","Cistus crispus",0.3125,0.185185185185185,0.687978103485236,0.368998448008325
"Doñana","2021","Pinar Aznalcazar","5","Cistus salviifolius",0.375,0.2,0.502713688725326,1.02425135123181
"Doñana","2021","Pinar Aznalcazar","5","Echium plantagineum",0.0625,0.142857142857143,0,0.558632507209446
"Doñana","2021","Pinar Aznalcazar","5","Galactites tomentosus",0.0625,0,1,-1.20426996196167
"Doñana","2021","Pinar Aznalcazar","5","Halimium halimifolium",0.1875,0,0.827804566205902,0.131860844857714
"Doñana","2021","Pinar Aznalcazar","5","Lavandula stoechas",0.1875,0.454545454545455,0.643553035773739,0.589128370553736
"Doñana","2021","Pinar Aznalcazar","6","Aetheorhiza bulbosa",0.272727272727273,0.0833953834698436,0.858104463502083,-0.295674896794288
"Doñana","2021","Pinar Aznalcazar","6","Cistus crispus",0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629
"Doñana","2021","Pinar Aznalcazar","6","Cistus salviifolius",0.181818181818182,0.0915032679738562,0.8,-0.335915678306387
"Doñana","2021","Pinar Aznalcazar","6","Echium plantagineum",0.0909090909090909,0.129181084198385,0.6,-0.31918786339606
"Doñana","2021","Pinar Aznalcazar","6","Galactites tomentosus",0.0909090909090909,0.0784313725490196,0,-0.432254375099683
"Doñana","2021","Pinar Aznalcazar","7","Aetheorhiza bulbosa",0.166666666666667,0.107142857142857,0.609052145992766,-0.300730148624628
"Doñana","2021","Pinar Aznalcazar","7","Andryala arenaria",0.0833333333333333,0,0.72105705434887,-1.18448055650962
"Doñana","2021","Pinar Aznalcazar","7","Cistus crispus",0.75,0.589285714285714,0.704251161654075,0.828079290507005
"Doñana","2021","Pinar Aznalcazar","7","Halimium halimifolium",0.0833333333333333,0,0.72105705434887,-1.3099429672786
"Doñana","2021","Pinar Aznalcazar","7","Lavandula stoechas",0.0833333333333333,0.119565217391304,0.44211410869774,0.155217929661444
"Doñana","2021","Pinar Aznalcazar","7","Tolpis barbata",0.0833333333333333,0,1,-1.33023413500873
"Doñana","2021","Pinar Aznalcazar","8","Aetheorhiza bulbosa",0.133333333333333,NA,1,-2.19528365864822
"Doñana","2021","Pinar Aznalcazar","8","Cistus crispus",0.733333333333333,NA,1,-1.79370569948296
"Doñana","2021","Pinar Aznalcazar","8","Echium plantagineum",0.0666666666666667,NA,1,-1.84300517653559
"Doñana","2021","Pinar Aznalcazar","8","Tolpis barbata",0.0666666666666667,NA,1,-1.63603697621636
"Doñana","2021","Pinar Hinojos","1","Halimium calycinum",0.777777777777778,NA,0.999999999999999,-1.44047448692399
"Doñana","2021","Pinar Hinojos","1","Oxalis pes-caprae",0.111111111111111,NA,1,-1.85014420048216
"Doñana","2021","Pinar Hinojos","1","Ulex australis",0.111111111111111,NA,1,-1.84958999084353
"Doñana","2021","Pinar Hinojos","2","Brassica barrelieri",0.111111111111111,0.5,0.287585625783956,0.225089145322966
"Doñana","2021","Pinar Hinojos","2","Halimium calycinum",0.555555555555556,1.5,0.792898788375697,0.0861360540155604
"Doñana","2021","Pinar Hinojos","2","Oxalis pes-caprae",0.111111111111111,0,1,-1.19516527326228
"Doñana","2021","Pinar Hinojos","2","Retama sphaerocarpa",0.111111111111111,0,1,-1.05788169265725
"Doñana","2021","Pinar Hinojos","2","Ulex australis",0.222222222222222,0,1,-1.44953414510694
"Doñana","2021","Pinar Hinojos","4","Cistus salviifolius",0.285714285714286,0.5,0,-0.538357179566002
"Doñana","2021","Pinar Hinojos","4","Halimium calycinum",0.857142857142857,0.333333333333333,0.5,-0.413344641006332
"Doñana","2021","Pinar Hinojos","4","Leontodon longirostris",0.142857142857143,0.333333333333333,0,-1.53123685519689
"Doñana","2021","Pinar Hinojos","5","Cerinthe major",0.0833333333333333,0.666666666666667,0,-0.46050035189198
"Doñana","2021","Pinar Hinojos","5","Cistus libanotis",0.0833333333333333,0,0.369070246428542,0.117535647154515
"Doñana","2021","Pinar Hinojos","5","Crepis vesicaria",0.0833333333333333,0,1,-1.28501323046229
"Doñana","2021","Pinar Hinojos","5","Halimium calycinum",0.583333333333333,0,0.72105705434887,0.0187756838548646
