"","X","Site_id","Year","Bosque","Periodo","Planta","norm_degree","weight_closeness","d","match","tot.visits.pl","pl.mean.fs","se.pl.fs","pl.mean.sn","se.pl.sn"
"31",31,"Doñana",2020,"Pinar Hinojos",3,"Halimium calycinum",0.125,0.375,0.647389321559071,"Doñana_2020_Pinar Hinojos_3_Halimium calycinum",1,NA,NA,NA,NA
"32",32,"Doñana",2020,"Pinar Hinojos",3,"Echium plantagineum",0.875,0.75,0.410043723977943,"Doñana_2020_Pinar Hinojos_3_Echium plantagineum",1,NA,NA,NA,NA
"33",33,"Doñana",2020,"Pinar Puebla",4,"Cistus salvifolius",0.166666666666667,0,0,"Doñana_2020_Pinar Puebla_4_Cistus salvifolius",5,NA,NA,NA,NA
"34",34,"Doñana",2020,"Pinar Puebla",4,"Galactite tomentosa",0.166666666666667,0,1,"Doñana_2020_Pinar Puebla_4_Galactite tomentosa",3,NA,NA,NA,NA
"35",35,"Doñana",2020,"Pinar Puebla",4,"Leontodon hispidus",0.5,1,0.647389321559071,"Doñana_2020_Pinar Puebla_4_Leontodon hispidus",2,NA,NA,NA,NA
"36",36,"Doñana",2020,"Pinar Puebla",4,"Cistus crispus",0.333333333333333,1,0.410043723977943,"Doñana_2020_Pinar Puebla_4_Cistus crispus",1,NA,NA,NA,NA
"37",37,"Doñana",2020,"Pinar Hinojos",4,"Leontodon hispidus",0.5,0.115384615384615,0,"Doñana_2020_Pinar Hinojos_4_Leontodon hispidus",20,NA,NA,NA,NA
"38",38,"Doñana",2020,"Pinar Hinojos",4,"Cistus salvifolius",0.166666666666667,0.416666666666667,1,"Doñana_2020_Pinar Hinojos_4_Cistus salvifolius",3,NA,NA,NA,NA
"39",39,"Doñana",2020,"Pinar Hinojos",4,"Cistus libanotis",0.166666666666667,0.25,0.647389321559071,"Doñana_2020_Pinar Hinojos_4_Cistus libanotis",5,NA,NA,NA,NA
"40",40,"Doñana",2020,"Pinar Hinojos",4,"Anthemis arvensis",1,0.120689655172414,0.410043723977943,"Doñana_2020_Pinar Hinojos_4_Anthemis arvensis",6,NA,NA,NA,NA
"41",41,"Doñana",2020,"Pinar Aznalcazar",4,"Galactite tomentosa",0.181818181818182,0.666666666666667,0,"Doñana_2020_Pinar Aznalcazar_4_Galactite tomentosa",5,NA,NA,NA,NA
"42",42,"Doñana",2020,"Pinar Aznalcazar",4,"Leontodon hispidus",0.181818181818182,0,1,"Doñana_2020_Pinar Aznalcazar_4_Leontodon hispidus",6,NA,NA,NA,NA
"43",43,"Doñana",2020,"Pinar Aznalcazar",4,"Convolvulus arvensis",0.272727272727273,1.33333333333333,0.647389321559071,"Doñana_2020_Pinar Aznalcazar_4_Convolvulus arvensis",2,NA,NA,NA,NA
