"","X","Site_id","Year","Bosque","Periodo","Planta","norm_degree","weight_closeness","d","match","tot.visits.pl","pl.mean.fs","se.pl.fs","pl.mean.sn","se.pl.sn"
"134",134,"Gorbea",2021,"3",2,"Lathyrus linifolius",0.666666666666667,NA,1,"Gorbea_2021_3_2_Lathyrus linifolius",1,0.5,NA,-0.407514561598894,NA
"135",135,"Gorbea",2021,"3",2,"Scilla verna",0.333333333333333,NA,0.647389321559071,"Gorbea_2021_3_2_Scilla verna",2,1,NA,NA,NA
"136",136,"Gorbea",2021,"3",2,"Lathyrus linifolius",0.666666666666667,NA,0.410043723977943,"Gorbea_2021_3_2_Lathyrus linifolius",1,0.5,NA,-0.407514561598894,NA
"137",137,"Gorbea",2021,"2",3,"Taraxacum sp.",0.5,NA,0,"Gorbea_2021_2_3_Taraxacum sp.",16,NA,NA,NA,NA
"138",138,"Gorbea",2021,"2",3,"Bellis perennis",0.5,NA,1,"Gorbea_2021_2_3_Bellis perennis",8,NA,NA,NA,NA
"139",139,"Gorbea",2021,"2",3,"Taraxacum sp.",0.5,NA,0.647389321559071,"Gorbea_2021_2_3_Taraxacum sp.",16,NA,NA,NA,NA
"140",140,"Gorbea",2021,"2",3,"Bellis perennis",0.5,NA,0.410043723977943,"Gorbea_2021_2_3_Bellis perennis",8,NA,NA,NA,NA
"141",141,"Gorbea",2021,"5",2,"Scilla verna",0.333333333333333,NA,0,"Gorbea_2021_5_2_Scilla verna",13,NA,NA,NA,NA
"142",142,"Gorbea",2021,"5",2,"Pedicularis sylvatica subsp. sylvatica",0.666666666666667,NA,1,"Gorbea_2021_5_2_Pedicularis sylvatica subsp. sylvatica",2,NA,NA,NA,NA
"143",143,"Gorbea",2021,"5",2,"Scilla verna",0.333333333333333,NA,0.647389321559071,"Gorbea_2021_5_2_Scilla verna",13,NA,NA,NA,NA
"144",144,"Gorbea",2021,"5",2,"Pedicularis sylvatica subsp. sylvatica",0.666666666666667,NA,0.410043723977943,"Gorbea_2021_5_2_Pedicularis sylvatica subsp. sylvatica",2,NA,NA,NA,NA
"145",145,"Gorbea",2021,"4",1,"Scilla verna",0.333333333333333,NA,0,"Gorbea_2021_4_1_Scilla verna",1,0.666666666666667,NA,0.278988835417959,NA
"146",146,"Gorbea",2021,"4",1,"Taraxacum sp.",0.666666666666667,NA,1,"Gorbea_2021_4_1_Taraxacum sp.",2,NA,NA,NA,NA
"147",147,"Gorbea",2021,"4",1,"Scilla verna",0.333333333333333,NA,0.647389321559071,"Gorbea_2021_4_1_Scilla verna",1,0.666666666666667,NA,0.278988835417959,NA
"148",148,"Gorbea",2021,"4",1,"Taraxacum sp.",0.666666666666667,NA,0.410043723977943,"Gorbea_2021_4_1_Taraxacum sp.",2,NA,NA,NA,NA
"149",149,"Gorbea",2021,"2",4,"Taraxacum sp.",0.5,0.177777777777778,0,"Gorbea_2021_2_4_Taraxacum sp.",27,NA,NA,NA,NA
"150",150,"Gorbea",2021,"2",4,"Bellis perennis",0.125,0.253968253968254,1,"Gorbea_2021_2_4_Bellis perennis",5,NA,NA,NA,NA
"151",151,"Gorbea",2021,"2",4,"Pedicularis sylvatica subsp. sylvatica",0.625,0.355555555555556,0.647389321559071,"Gorbea_2021_2_4_Pedicularis sylvatica subsp. sylvatica",1,NA,NA,NA,NA
"152",152,"Gorbea",2021,"2",4,"Viola riviniana",0.125,0.253968253968254,0.410043723977943,"Gorbea_2021_2_4_Viola riviniana",1,NA,NA,NA,NA
"153",153,"Gorbea",2021,"1",4,"Taraxacum sp.",0.285714285714286,0,0,"Gorbea_2021_1_4_Taraxacum sp.",19,NA,NA,NA,NA
"154",154,"Gorbea",2021,"1",4,"Bellis perennis",0.0476190476190476,0.5,1,"Gorbea_2021_1_4_Bellis perennis",11,NA,NA,NA,NA
"155",155,"Gorbea",2021,"1",4,"Vicia pyrenaica",0.19047619047619,0,0.647389321559071,"Gorbea_2021_1_4_Vicia pyrenaica",13,1,NA,-0.669039665224362,NA
"156",156,"Gorbea",2021,"1",4,"Erysimum gorbeanum",0.0476190476190476,0,0.410043723977943,"Gorbea_2021_1_4_Erysimum gorbeanum",4,NA,NA,NA,NA
"157",157,"Gorbea",2021,"1",4,"Veronica sp.",0.0952380952380952,0,0,"Gorbea_2021_1_4_Veronica sp.",2,NA,NA,NA,NA
"158",158,"Gorbea",2021,"1",4,"Scilla verna",0.142857142857143,0,1,"Gorbea_2021_1_4_Scilla verna",2,1,NA,-0.27675200978616,NA
"159",159,"Gorbea",2021,"1",4,"Ranunculus repens",0.0952380952380952,0.5,0.647389321559071,"Gorbea_2021_1_4_Ranunculus repens",1,NA,NA,NA,NA
"160",160,"Gorbea",2021,"1",4,"Erinus alpinus",0.285714285714286,0.5,0.410043723977943,"Gorbea_2021_1_4_Erinus alpinus",1,NA,NA,NA,NA
"161",161,"Gorbea",2021,"3",5,"Ranunculus repens",0.363636363636364,0.204499528492523,0,"Gorbea_2021_3_5_Ranunculus repens",20,NA,NA,NA,NA
"162",162,"Gorbea",2021,"3",5,"Pedicularis sylvatica subsp. sylvatica",0.0909090909090909,0.0491452991452991,1,"Gorbea_2021_3_5_Pedicularis sylvatica subsp. sylvatica",2,NA,NA,NA,NA
"163",163,"Gorbea",2021,"3",5,"Bellis perennis",0.0909090909090909,0,0.647389321559071,"Gorbea_2021_3_5_Bellis perennis",9,NA,NA,NA,NA
"164",164,"Gorbea",2021,"3",5,"Potentilla erecta",0.0909090909090909,0,0.410043723977943,"Gorbea_2021_3_5_Potentilla erecta",3,NA,NA,NA,NA
"165",165,"Gorbea",2021,"3",5,"Potentilla montana",0.0909090909090909,0.0491452991452991,0,"Gorbea_2021_3_5_Potentilla montana",1,NA,NA,NA,NA
"166",166,"Gorbea",2021,"3",5,"Helianthemum nummularium",0.0909090909090909,0,1,"Gorbea_2021_3_5_Helianthemum nummularium",1,0.333333333333333,NA,-0.145989457973426,NA
"167",167,"Gorbea",2021,"3",5,"Vicia pyrenaica",0.0909090909090909,0.0491452991452991,0.647389321559071,"Gorbea_2021_3_5_Vicia pyrenaica",1,NA,NA,NA,NA
"168",168,"Gorbea",2021,"3",5,"Pilosella officinarum",0.272727272727273,0.118728246842126,0.410043723977943,"Gorbea_2021_3_5_Pilosella officinarum",1,NA,NA,NA,NA
"169",169,"Gorbea",2021,"3",5,"Hippocrepis comosa",0.0909090909090909,0.0475154550434306,0,"Gorbea_2021_3_5_Hippocrepis comosa",1,0.5,NA,NA,NA
"170",170,"Gorbea",2021,"3",5,"Lotus corniculatus",0.545454545454545,0.501345352462918,1,"Gorbea_2021_3_5_Lotus corniculatus",1,NA,NA,NA,NA
"171",171,"Gorbea",2021,"3",5,"Lathyrus linifolius",0.0909090909090909,0.0491452991452991,0.647389321559071,"Gorbea_2021_3_5_Lathyrus linifolius",1,0.333333333333333,NA,-0.799802217037096,NA
"172",172,"Gorbea",2021,"3",5,"Thymus praecox subsp. polytrichus",0.0909090909090909,0,0.410043723977943,"Gorbea_2021_3_5_Thymus praecox subsp. polytrichus",1,NA,NA,NA,NA
"173",173,"Gorbea",2021,"5",5,"Taraxacum sp.",0.5,1.84615384615385,0,"Gorbea_2021_5_5_Taraxacum sp.",5,NA,NA,NA,NA
"174",174,"Gorbea",2021,"5",5,"Bellis perennis",0.125,0.153846153846154,1,"Gorbea_2021_5_5_Bellis perennis",22,NA,NA,NA,NA
"175",175,"Gorbea",2021,"5",5,"Myosotis lamottiana",0.25,0,0.647389321559071,"Gorbea_2021_5_5_Myosotis lamottiana",1,NA,NA,NA,NA
"176",176,"Gorbea",2021,"5",5,"Ranunculus repens",0.25,0,0.410043723977943,"Gorbea_2021_5_5_Ranunculus repens",2,NA,NA,NA,NA
"177",177,"Gorbea",2021,"1",6,"Pilosella officinarum",0.454545454545455,0.787256820909887,0,"Gorbea_2021_1_6_Pilosella officinarum",2,NA,NA,NA,NA
"178",178,"Gorbea",2021,"1",6,"Taraxacum sp.",0.0909090909090909,0,1,"Gorbea_2021_1_6_Taraxacum sp.",4,NA,NA,NA,NA
"179",179,"Gorbea",2021,"1",6,"Ranunculus repens",0.0909090909090909,0.0303564168586529,0.647389321559071,"Gorbea_2021_1_6_Ranunculus repens",7,NA,NA,NA,NA
"180",180,"Gorbea",2021,"1",6,"Bellis perennis",0.0909090909090909,0.0303564168586529,0.410043723977943,"Gorbea_2021_1_6_Bellis perennis",55,NA,NA,NA,NA
"181",181,"Gorbea",2021,"1",6,"Vicia pyrenaica",0.0909090909090909,0.0602852785502826,0,"Gorbea_2021_1_6_Vicia pyrenaica",13,1,NA,-0.27675200978616,NA
"182",182,"Gorbea",2021,"1",6,"Medicago lupulina",0.454545454545455,0.083756440566036,1,"Gorbea_2021_1_6_Medicago lupulina",1,NA,NA,NA,NA
"183",183,"Gorbea",2021,"1",6,"Geranium robertianum",0.272727272727273,0.0838827040188803,0.647389321559071,"Gorbea_2021_1_6_Geranium robertianum",1,NA,NA,NA,NA
"184",184,"Gorbea",2021,"1",6,"Hutchinsia alpina",0.181818181818182,0,0.410043723977943,"Gorbea_2021_1_6_Hutchinsia alpina",1,NA,NA,NA,NA
"185",185,"Gorbea",2021,"5",7,"Erica tetralix",0.25,0.333333333333333,0,"Gorbea_2021_5_7_Erica tetralix",3,NA,NA,NA,NA
"186",186,"Gorbea",2021,"5",7,"Daboecia cantabrica",0.25,0,1,"Gorbea_2021_5_7_Daboecia cantabrica",2,NA,NA,NA,NA
"187",187,"Gorbea",2021,"5",7,"Potentilla erecta",0.5,0,0.647389321559071,"Gorbea_2021_5_7_Potentilla erecta",11,NA,NA,NA,NA
"188",188,"Gorbea",2021,"5",7,"Erica cinerea",0.5,1.66666666666667,0.410043723977943,"Gorbea_2021_5_7_Erica cinerea",1,NA,NA,NA,NA
"189",189,"Gorbea",2022,"2",1,"Helleborus viridis subsp. occidentalis",0.666666666666667,0.865384615384615,0,"Gorbea_2022_2_1_Helleborus viridis subsp. occidentalis",5,NA,NA,NA,NA
"190",190,"Gorbea",2022,"2",1,"Potentilla sterilis",0.333333333333333,0.230769230769231,1,"Gorbea_2022_2_1_Potentilla sterilis",2,NA,NA,NA,NA
"191",191,"Gorbea",2022,"2",1,"Ranunculus ficaria",0.666666666666667,0.346153846153846,0.647389321559071,"Gorbea_2022_2_1_Ranunculus ficaria",1,NA,NA,NA,NA
"192",192,"Gorbea",2022,"2",1,"Hepatica nobilis",0.333333333333333,0,0.410043723977943,"Gorbea_2022_2_1_Hepatica nobilis",1,1,NA,NA,NA
"193",193,"Gorbea",2022,"3",1,"Helleborus viridis subsp. occidentalis",0.1,0.0581818181818182,0,"Gorbea_2022_3_1_Helleborus viridis subsp. occidentalis",1,NA,NA,NA,NA
"194",194,"Gorbea",2022,"3",1,"Scilla verna",0.1,0.0692640692640693,1,"Gorbea_2022_3_1_Scilla verna",18,0.25,NA,-1.08532990306078,NA
"195",195,"Gorbea",2022,"3",1,"Lathyrus linifolius",0.1,0,0.647389321559071,"Gorbea_2022_3_1_Lathyrus linifolius",7,0,NA,NA,NA
"196",196,"Gorbea",2022,"3",1,"Bellis perennis",0.2,0.111888111888112,0.410043723977943,"Gorbea_2022_3_1_Bellis perennis",1,NA,NA,NA,NA
"197",197,"Gorbea",2022,"3",1,"Potentilla erecta",0.2,0.0808080808080808,0,"Gorbea_2022_3_1_Potentilla erecta",2,NA,NA,NA,NA
"198",198,"Gorbea",2022,"3",1,"Taraxacum officinale",0.1,0.0632411067193676,1,"Gorbea_2022_3_1_Taraxacum officinale",2,NA,NA,NA,NA
"199",199,"Gorbea",2022,"3",1,"Hippocrepis comosa",0.8,0.140762463343109,0.647389321559071,"Gorbea_2022_3_1_Hippocrepis comosa",1,NA,NA,NA,NA
"200",200,"Gorbea",2022,"3",1,"Potentilla montana",0.2,0.0890538033395176,0.410043723977943,"Gorbea_2022_3_1_Potentilla montana",1,NA,NA,NA,NA
"201",201,"Gorbea",2022,"4",2,"Bellis perennis",0.222222222222222,0.266666666666667,0,"Gorbea_2022_4_2_Bellis perennis",3,NA,NA,NA,NA
"202",202,"Gorbea",2022,"4",2,"Taraxacum officinale",0.222222222222222,0.16,1,"Gorbea_2022_4_2_Taraxacum officinale",22,NA,NA,NA,NA
"203",203,"Gorbea",2022,"4",2,"Scilla verna",0.666666666666667,0.3,0.647389321559071,"Gorbea_2022_4_2_Scilla verna",2,0.714285714285714,NA,NA,NA
"204",204,"Gorbea",2022,"4",2,"Vaccinium myrtillus",0.111111111111111,0,0.410043723977943,"Gorbea_2022_4_2_Vaccinium myrtillus",1,NA,NA,NA,NA
"205",205,"Gorbea",2022,"4",3,"Taraxacum officinale",0.444444444444444,0.256,0,"Gorbea_2022_4_3_Taraxacum officinale",30,NA,NA,NA,NA
"206",206,"Gorbea",2022,"4",3,"Bellis perennis",0.333333333333333,0.174545454545455,1,"Gorbea_2022_4_3_Bellis perennis",7,NA,NA,NA,NA
"207",207,"Gorbea",2022,"4",3,"Scilla verna",0.111111111111111,0.182857142857143,0.647389321559071,"Gorbea_2022_4_3_Scilla verna",3,0.333333333333333,NA,NA,NA
"208",208,"Gorbea",2022,"4",3,"Potentilla erecta",0.777777777777778,0.194782608695652,0.410043723977943,"Gorbea_2022_4_3_Potentilla erecta",4,NA,NA,NA,NA
"209",209,"Gorbea",2022,"1",4,"Taraxacum officinale",0.416666666666667,0.112813095785944,0,"Gorbea_2022_1_4_Taraxacum officinale",29,NA,NA,NA,NA
"210",210,"Gorbea",2022,"1",4,"Bellis perennis",0.0833333333333333,0,1,"Gorbea_2022_1_4_Bellis perennis",15,NA,NA,NA,NA
"211",211,"Gorbea",2022,"1",4,"Pinguicula grandiflora",0.25,0.141261696347721,0.647389321559071,"Gorbea_2022_1_4_Pinguicula grandiflora",1,NA,NA,NA,NA
"212",212,"Gorbea",2022,"1",4,"Hutchinsia alpina",0.0833333333333333,0.0274599542334096,0.410043723977943,"Gorbea_2022_1_4_Hutchinsia alpina",1,NA,NA,NA,NA
"213",213,"Gorbea",2022,"1",4,"Scilla verna",0.0833333333333333,0.0274599542334096,0,"Gorbea_2022_1_4_Scilla verna",2,NA,NA,NA,NA
"214",214,"Gorbea",2022,"1",4,"Vicia pyrenaica",0.166666666666667,0.0444528875379939,1,"Gorbea_2022_1_4_Vicia pyrenaica",4,0.5,NA,-0.37889000400135,NA
"215",215,"Gorbea",2022,"1",4,"Erysimum gorbeanum",0.666666666666667,0.126384012962463,0.647389321559071,"Gorbea_2022_1_4_Erysimum gorbeanum",1,NA,NA,NA,NA
"216",216,"Gorbea",2022,"1",4,"Helleborus viridis subsp. occidentalis",0.0833333333333333,0.106242905788876,0.410043723977943,"Gorbea_2022_1_4_Helleborus viridis subsp. occidentalis",7,NA,NA,NA,NA
"217",217,"Gorbea",2022,"1",5,"Taraxacum officinale",0.25,0.197849659567639,0,"Gorbea_2022_1_5_Taraxacum officinale",19,NA,NA,NA,NA
"218",218,"Gorbea",2022,"1",5,"Vicia pyrenaica",0.125,0,1,"Gorbea_2022_1_5_Vicia pyrenaica",19,0,NA,NA,NA
"219",219,"Gorbea",2022,"1",5,"Ranunculus sp.",0.0625,0.0220747790187401,0.647389321559071,"Gorbea_2022_1_5_Ranunculus sp.",7,NA,NA,NA,NA
"220",220,"Gorbea",2022,"1",5,"Bellis perennis",0.0625,0.024108488196886,0.410043723977943,"Gorbea_2022_1_5_Bellis perennis",32,NA,NA,NA,NA
"221",221,"Gorbea",2022,"1",5,"Geranium robertianum",0.1875,0.0528968052069237,0,"Gorbea_2022_1_5_Geranium robertianum",1,NA,NA,NA,NA
"222",222,"Gorbea",2022,"1",5,"Medicago lupulina",0.3125,0.0776916260110671,1,"Gorbea_2022_1_5_Medicago lupulina",4,NA,NA,NA,NA
"223",223,"Gorbea",2022,"1",5,"Erinus alpinus",0.5,0.124360443350313,0.647389321559071,"Gorbea_2022_1_5_Erinus alpinus",2,NA,NA,NA,NA
"224",224,"Gorbea",2022,"1",5,"Hutchinsia alpina",0.25,0,0.410043723977943,"Gorbea_2022_1_5_Hutchinsia alpina",1,NA,NA,NA,NA
"225",225,"Gorbea",2022,"4",5,"Ranunculus sp.",0.285714285714286,0.19047619047619,0,"Gorbea_2022_4_5_Ranunculus sp.",3,NA,NA,NA,NA
"226",226,"Gorbea",2022,"4",5,"Potentilla erecta",0.428571428571429,0.285714285714286,1,"Gorbea_2022_4_5_Potentilla erecta",7,NA,NA,NA,NA
"227",227,"Gorbea",2022,"4",5,"Veronica officinalis",0.285714285714286,0.228571428571429,0.647389321559071,"Gorbea_2022_4_5_Veronica officinalis",3,NA,NA,NA,NA
"228",228,"Gorbea",2022,"4",5,"Polygala vulgaris",0.428571428571429,0.114285714285714,0.410043723977943,"Gorbea_2022_4_5_Polygala vulgaris",2,NA,NA,NA,NA
"229",229,"Gorbea",2022,"3",6,"Trifolium repens",0.3,0.0730752501087429,0,"Gorbea_2022_3_6_Trifolium repens",2,NA,NA,NA,NA
"230",230,"Gorbea",2022,"3",6,"Lotus corniculatus",0.1,0.0458140169075539,1,"Gorbea_2022_3_6_Lotus corniculatus",4,0.333333333333333,NA,0.680769844587791,NA
"231",231,"Gorbea",2022,"3",6,"Helianthemum nummularium",0.3,0.0514075887392901,0.647389321559071,"Gorbea_2022_3_6_Helianthemum nummularium",3,NA,NA,NA,NA
"232",232,"Gorbea",2022,"3",6," Thymus praecox subsp. polytrichus",0.4,0.0609800362976406,0.410043723977943,"Gorbea_2022_3_6_ Thymus praecox subsp. polytrichus",6,NA,NA,NA,NA
"233",233,"Gorbea",2022,"3",6,"Plantago sp.",0.1,0.030281182408075,0,"Gorbea_2022_3_6_Plantago sp.",1,NA,NA,NA,NA
"234",234,"Gorbea",2022,"3",6,"Teucrium pyrenaicum L. subsp. pyrenaicum",0.2,0.0458140169075539,1,"Gorbea_2022_3_6_Teucrium pyrenaicum L. subsp. pyrenaicum",4,NA,NA,NA,NA
"235",235,"Gorbea",2022,"3",6,"Vicia pyrenaica",0.2,0.0401913875598086,0.647389321559071,"Gorbea_2022_3_6_Vicia pyrenaica",1,NA,NA,NA,NA
"236",236,"Gorbea",2022,"3",6,"Bellis perennis",0.1,0.0323886639676113,0.410043723977943,"Gorbea_2022_3_6_Bellis perennis",1,NA,NA,NA,NA
